world,channel,test_type,t,y,lo,hi
"1. noiseless world, eps fixed .1",I_mu (concept mean),background,1,0.017110708412038107,0.017110708412038107,0.017110708412038107
"1. noiseless world, eps fixed .1",I_sigma (spread & noise),background,1,0.0025938782145130124,0.0025938782145130124,0.0025938782145130124
"1. noiseless world, eps fixed .1",total (true EIG),background,1,0.01970458662655112,0.01970458662655112,0.01970458662655112
"1. noiseless world, eps fixed .1",concept EIG (eps nuisance),background,1,0.019704586626547876,0.019704586626547876,0.019704586626547876
"1. noiseless world, eps fixed .1",KL (realized),background,1,0.040803018716538665,0.040803018716538665,0.040803018716538665
"1. noiseless world, eps fixed .1",implemented EIG,background,1,0.0021627675091736936,0.0021627675091736936,0.0021627675091736936
"1. noiseless world, eps fixed .1",I_mu (concept mean),background,2,0.007388127288600914,0.007388127288600914,0.007388127288600914
"1. noiseless world, eps fixed .1",I_sigma (spread & noise),background,2,0.0007637605110161391,0.0007637605110161391,0.0007637605110161391
"1. noiseless world, eps fixed .1",total (true EIG),background,2,0.008151887799617053,0.008151887799617053,0.008151887799617053
"1. noiseless world, eps fixed .1",concept EIG (eps nuisance),background,2,0.008151887799614047,0.008151887799614047,0.008151887799614047
"1. noiseless world, eps fixed .1",KL (realized),background,2,0.0010122018242937896,0.0010122018242937896,0.0010122018242937896
"1. noiseless world, eps fixed .1",implemented EIG,background,2,0.0003922242361157254,0.0003922242361157254,0.0003922242361157254
"1. noiseless world, eps fixed .1",I_mu (concept mean),background,3,0.004134711841541685,0.004134711841541685,0.004134711841541685
"1. noiseless world, eps fixed .1",I_sigma (spread & noise),background,3,0.00037247421888003673,0.00037247421888003673,0.00037247421888003673
"1. noiseless world, eps fixed .1",total (true EIG),background,3,0.004507186060421722,0.004507186060421722,0.004507186060421722
"1. noiseless world, eps fixed .1",concept EIG (eps nuisance),background,3,0.004507186060418593,0.004507186060418593,0.004507186060418593
"1. noiseless world, eps fixed .1",KL (realized),background,3,0.0001825429829870373,0.0001825429829870373,0.0001825429829870373
"1. noiseless world, eps fixed .1",implemented EIG,background,3,0.00012149672076923743,0.00012149672076923743,0.00012149672076923743
"1. noiseless world, eps fixed .1",I_mu (concept mean),background,4,0.0026454914657041413,0.0026454914657041413,0.0026454914657041413
