V_prior,alpha_prior,beta_prior,eps_fixed,world_EIGs,r2,rmse,n_cond
1.0,1.0,0.1,0.1,0.0001,0.4977993396576009,298.8667419094895,75
1.0,1.0,0.1,0.1,0.00025118864315095795,0.5936404896002067,268.52600109478806,75
1.0,1.0,0.1,0.1,0.000630957344480193,0.6920775922626603,231.6603611778045,75
1.0,1.0,0.1,0.1,0.001584893192461114,0.7740972184782163,195.82168120724359,75
1.0,1.0,0.1,0.1,0.003981071705534973,0.8227859323045478,172.12135468502453,75
1.0,1.0,0.1,0.1,0.01,0.8399627196326563,163.26858643871648,75
1.0,1.0,0.1,0.2,0.0001,0.8225262652417914,172.58327540472558,75
1.0,1.0,0.1,0.2,0.00025118864315095795,0.7714891625045013,196.15947662087618,75
1.0,1.0,0.1,0.2,0.000630957344480193,0.7102872180986096,220.29286432969144,75
1.0,1.0,0.1,0.2,0.001584893192461114,0.6575260204158656,238.68274608877078,75
1.0,1.0,0.1,0.2,0.003981071705534973,0.6237425468952987,249.39557961088303,75
1.0,1.0,0.1,0.2,0.01,0.6123482740696709,252.324840516385,75
1.0,1.0,0.1,0.3,0.0001,0.625478592049412,249.85821118908066,75
1.0,1.0,0.1,0.3,0.00025118864315095795,0.5729143175404935,266.37682544660163,75
1.0,1.0,0.1,0.3,0.000630957344480193,0.5352852206870681,277.6249049457371,75
1.0,1.0,0.1,0.3,0.001584893192461114,0.5126089206757776,284.1078774420773,75
1.0,1.0,0.1,0.3,0.003981071705534973,0.5039389890256346,286.30333059963493,75
1.0,1.0,0.1,0.3,0.01,0.5062708221096539,285.1800517026587,75
1.0,1.0,0.1,0.5,0.0001,0.46196273839669444,299.3218342093099,75
1.0,1.0,0.1,0.5,0.00025118864315095795,0.44791096921078105,303.23407808983916,75
1.0,1.0,0.1,0.5,0.000630957344480193,0.4420731235464691,304.7567093239421,75
1.0,1.0,0.1,0.5,0.001584893192461114,0.44292415111696576,304.3341998238466,75
1.0,1.0,0.1,0.5,0.003981071705534973,0.4482817570374028,302.597560192401,75
1.0,1.0,0.1,0.5,0.01,0.4543559763414914,300.67738116731107,75
1.0,1.0,1.0,0.1,0.0001,0.0026283615744430128,412.5025500453022,75
1.0,1.0,1.0,0.1,0.00025118864315095795,0.003282154169227776,412.42029219289844,75
1.0,1.0,1.0,0.1,0.000630957344480193,0.003659713470706358,412.39192771313776,75
1.0,1.0,1.0,0.1,0.001584893192461114,0.0038726236131809643,412.3734766356708,75
1.0,1.0,1.0,0.1,0.003981071705534973,0.003976840897624318,412.36273251957084,75
1.0,1.0,1.0,0.1,0.01,0.004022541189428011,412.35762552537915,75
1.0,1.0,1.0,0.2,0.0001,0.10200318247296178,392.55940803473527,75
1.0,1.0,1.0,0.2,0.00025118864315095795,0.1736507220267709,377.568406046066,75
1.0,1.0,1.0,0.2,0.000630957344480193,0.2585395199117945,358.2234599433322,75
1.0,1.0,1.0,0.2,0.001584893192461114,0.33075314056308563,340.1888896509116,75
1.0,1.0,1.0,0.2,0.003981071705534973,0.3785622204958476,327.4163572196121,75
1.0,1.0,1.0,0.2,0.01,0.4038939967108973,320.37650620018474,75
1.0,1.0,1.0,0.3,0.0001,0.5641375229232648,272.10729537705816,75
1.0,1.0,1.0,0.3,0.00025118864315095795,0.7220212913788902,216.69589840869017,75
1.0,1.0,1.0,0.3,0.000630957344480193,0.7689436349532047,198.08097920126448,75
1.0,1.0,1.0,0.3,0.001584893192461114,0.7566490616118569,200.56563735190846,75
1.0,1.0,1.0,0.3,0.003981071705534973,0.7412399302319971,205.25597482142584,75
1.0,1.0,1.0,0.3,0.01,0.7323979120894469,208.13574702626133,75
1.0,1.0,1.0,0.5,0.0001,0.6176023190760805,246.89383247414543,75
1.0,1.0,1.0,0.5,0.00025118864315095795,0.5506171893798706,269.65823566918823,75
1.0,1.0,1.0,0.5,0.000630957344480193,0.5082747471856373,283.6027879588508,75
1.0,1.0,1.0,0.5,0.001584893192461114,0.4920553338840393,288.8023820878873,75
1.0,1.0,1.0,0.5,0.003981071705534973,0.4968644433133367,287.22586773778073,75
1.0,1.0,1.0,0.5,0.01,0.506415987353197,284.1356406328703,75
1.0,10.0,0.1,0.1,0.0001,0.7855350154706139,189.8726525591836,75
1.0,10.0,0.1,0.1,0.00025118864315095795,0.778077299974498,192.93096047610726,75
1.0,10.0,0.1,0.1,0.000630957344480193,0.7696997678621631,196.23508173378883,75
1.0,10.0,0.1,0.1,0.001584893192461114,0.761350749226415,199.33482584999834,75
1.0,10.0,0.1,0.1,0.003981071705534973,0.7549266025298069,201.39554925752773,75
1.0,10.0,0.1,0.1,0.01,0.7533490806211667,201.1620891506019,75
1.0,10.0,0.1,0.2,0.0001,0.7223154555622946,214.55408407906756,75
1.0,10.0,0.1,0.2,0.00025118864315095795,0.7069843456279699,219.9687922952017,75
1.0,10.0,0.1,0.2,0.000630957344480193,0.6919207864790405,225.0896111048465,75
1.0,10.0,0.1,0.2,0.001584893192461114,0.6767837016138794,230.07809440427678,75
1.0,10.0,0.1,0.2,0.003981071705534973,0.6602038223755471,235.47861028415855,75
1.0,10.0,0.1,0.2,0.01,0.6405080233907269,241.93001650120246,75
1.0,10.0,0.1,0.3,0.0001,0.6678161880181823,233.66226465535402,75
1.0,10.0,0.1,0.3,0.00025118864315095795,0.6484749261629718,240.05430923605294,75
1.0,10.0,0.1,0.3,0.000630957344480193,0.6249416872448338,247.7754998220268,75
1.0,10.0,0.1,0.3,0.001584893192461114,0.5945109498836513,257.69728710459947,75
1.0,10.0,0.1,0.3,0.003981071705534973,0.556100368298822,270.04324307706537,75
1.0,10.0,0.1,0.3,0.01,0.5128068761659762,283.6463861751129,75
1.0,10.0,0.1,0.5,0.0001,0.5552932700485222,270.42727250269394,75
1.0,10.0,0.1,0.5,0.00025118864315095795,0.5028833958299779,286.78068352766866,75
1.0,10.0,0.1,0.5,0.000630957344480193,0.4391986670962239,305.99041813331945,75
1.0,10.0,0.1,0.5,0.001584893192461114,0.37235172560863283,325.3974208042081,75
1.0,10.0,0.1,0.5,0.003981071705534973,0.3155884238322502,341.31122346291215,75
1.0,10.0,0.1,0.5,0.01,0.2779819256882083,351.586378939752,75
1.0,10.0,1.0,0.1,0.0001,0.6603314919984055,233.5221162315949,75
1.0,10.0,1.0,0.1,0.00025118864315095795,0.6561307443526656,234.9557544323627,75
1.0,10.0,1.0,0.1,0.000630957344480193,0.6593292450103354,233.6718766897264,75
1.0,10.0,1.0,0.1,0.001584893192461114,0.6740125272615742,228.2161543665564,75
1.0,10.0,1.0,0.1,0.003981071705534973,0.6877205485767539,223.15307184819795,75
1.0,10.0,1.0,0.1,0.01,0.6948885110180826,220.5187743881379,75
1.0,10.0,1.0,0.2,0.0001,0.6188295194329292,247.79647102082623,75
1.0,10.0,1.0,0.2,0.00025118864315095795,0.6093749994946501,250.98580797029268,75
1.0,10.0,1.0,0.2,0.000630957344480193,0.6013965754726841,253.63750896551102,75
1.0,10.0,1.0,0.2,0.001584893192461114,0.5991356604045088,254.277881755194,75
1.0,10.0,1.0,0.2,0.003981071705534973,0.6090514509852012,250.70061399204383,75
1.0,10.0,1.0,0.2,0.01,0.6245604277662348,245.22027287672,75
1.0,10.0,1.0,0.3,0.0001,0.5814106059253658,260.40121335046103,75
1.0,10.0,1.0,0.3,0.00025118864315095795,0.5699928854381356,264.1621029605375,75
1.0,10.0,1.0,0.3,0.000630957344480193,0.5611198449068873,267.03089429302406,75
1.0,10.0,1.0,0.3,0.001584893192461114,0.5574908938028337,268.11686283152636,75
1.0,10.0,1.0,0.3,0.003981071705534973,0.5624142583367995,266.33915832827375,75
1.0,10.0,1.0,0.3,0.01,0.5736950510427155,262.4653072134744,75
1.0,10.0,1.0,0.5,0.0001,0.5277225931889867,277.9147379148562,75
1.0,10.0,1.0,0.5,0.00025118864315095795,0.5185595413782539,280.7888836236585,75
1.0,10.0,1.0,0.5,0.000630957344480193,0.5126692008180115,282.5852461421064,75
1.0,10.0,1.0,0.5,0.001584893192461114,0.510005053129851,283.3405048633621,75
1.0,10.0,1.0,0.5,0.003981071705534973,0.5094513402715142,283.4358447845615,75
1.0,10.0,1.0,0.5,0.01,0.5084684187161044,283.70086243293855,75
2.0,1.0,0.1,0.1,0.0001,0.14675075679309188,374.3342847735927,75
2.0,1.0,0.1,0.1,0.00025118864315095795,0.20794429622825306,363.9471529902954,75
2.0,1.0,0.1,0.1,0.000630957344480193,0.2962979096793248,347.19570514573275,75
2.0,1.0,0.1,0.1,0.001584893192461114,0.40679835915932205,321.0307582241483,75
2.0,1.0,0.1,0.1,0.003981071705534973,0.5010497408198905,293.50066841439934,75
2.0,1.0,0.1,0.1,0.01,0.5418109977353807,280.05142570026567,75
2.0,1.0,0.1,0.2,0.0001,0.7067821728486969,222.1074752061043,75
2.0,1.0,0.1,0.2,0.00025118864315095795,0.6727051853880203,236.63470712180865,75
2.0,1.0,0.1,0.2,0.000630957344480193,0.6010587009601647,261.165382079462,75
2.0,1.0,0.1,0.2,0.001584893192461114,0.5387190626725442,279.71991481407355,75
2.0,1.0,0.1,0.2,0.003981071705534973,0.5024560763967056,289.60288941187827,75
2.0,1.0,0.1,0.2,0.01,0.4915578868230069,292.10795734001914,75
2.0,1.0,0.1,0.3,0.0001,0.5005439452962533,290.9012078244083,75
2.0,1.0,0.1,0.3,0.00025118864315095795,0.44589686192129385,305.72219655004676,75
2.0,1.0,0.1,0.3,0.000630957344480193,0.41176180994935657,314.753183041023,75
2.0,1.0,0.1,0.3,0.001584893192461114,0.39496250768163205,319.1033435674375,75
2.0,1.0,0.1,0.3,0.003981071705534973,0.3923070818671048,319.62076552078236,75
2.0,1.0,0.1,0.3,0.01,0.3984824103081789,317.7124782813572,75
2.0,1.0,0.1,0.5,0.0001,0.3536666296565549,330.43419404941017,75
2.0,1.0,0.1,0.5,0.00025118864315095795,0.348192231729202,331.8857616809884,75
2.0,1.0,0.1,0.5,0.000630957344480193,0.3504722267052606,331.2304977450423,75
2.0,1.0,0.1,0.5,0.001584893192461114,0.3585425498941063,328.9577972080447,75
2.0,1.0,0.1,0.5,0.003981071705534973,0.369448041509128,325.85747507347537,75
2.0,1.0,0.1,0.5,0.01,0.3785121762377116,323.25503407276113,75
2.0,1.0,1.0,0.1,0.0001,0.1580497028756372,381.3941996962361,75
2.0,1.0,1.0,0.1,0.00025118864315095795,0.14771832037607147,383.9274184567302,75
2.0,1.0,1.0,0.1,0.000630957344480193,0.139549600754824,385.9289818683317,75
2.0,1.0,1.0,0.1,0.001584893192461114,0.13522437391481673,386.9881418656656,75
2.0,1.0,1.0,0.1,0.003981071705534973,0.13329489419569324,387.4605824226777,75
2.0,1.0,1.0,0.1,0.01,0.13249149029852322,387.657303884748,75
2.0,1.0,1.0,0.2,0.0001,0.16339243278825596,380.0739022966371,75
2.0,1.0,1.0,0.2,0.00025118864315095795,0.16368742286452814,380.0024169572147,75
2.0,1.0,1.0,0.2,0.000630957344480193,0.16087093556090948,380.7223537767066,75
2.0,1.0,1.0,0.2,0.001584893192461114,0.15530571596725368,382.15339022859956,75
2.0,1.0,1.0,0.2,0.003981071705534973,0.1510748253321999,383.2516372816362,75
2.0,1.0,1.0,0.2,0.01,0.14890186631393582,383.8200866271631,75
2.0,1.0,1.0,0.3,0.0001,0.15712155683102047,381.44567885327723,75
2.0,1.0,1.0,0.3,0.00025118864315095795,0.15083678999965236,382.84238128200286,75
2.0,1.0,1.0,0.3,0.000630957344480193,0.1390384929305837,385.4573151096046,75
2.0,1.0,1.0,0.3,0.001584893192461114,0.12146815107606582,389.3557905982605,75
2.0,1.0,1.0,0.3,0.003981071705534973,0.10382112963972195,393.24764151659394,75
2.0,1.0,1.0,0.3,0.01,0.09182317803895036,395.85251426314244,75
2.0,1.0,1.0,0.5,0.0001,0.2361353516749361,365.1813106494606,75
2.0,1.0,1.0,0.5,0.00025118864315095795,0.2549061168357452,359.0369292671181,75
2.0,1.0,1.0,0.5,0.000630957344480193,0.25424745135535015,358.56749235277965,75
2.0,1.0,1.0,0.5,0.001584893192461114,0.26603579983098447,355.2270662619389,75
2.0,1.0,1.0,0.5,0.003981071705534973,0.28260875880709974,350.695484517457,75
2.0,1.0,1.0,0.5,0.01,0.2950541425605967,347.27372862775616,75
2.0,10.0,0.1,0.1,0.0001,0.7324326777338523,212.0830777835469,75
2.0,10.0,0.1,0.1,0.00025118864315095795,0.7206567491450532,216.5244220707465,75
2.0,10.0,0.1,0.1,0.000630957344480193,0.707344799860593,221.38999391787576,75
2.0,10.0,0.1,0.1,0.001584893192461114,0.6933564137100005,226.3066841371173,75
2.0,10.0,0.1,0.1,0.003981071705534973,0.6805592333664259,230.55133743932552,75
2.0,10.0,0.1,0.1,0.01,0.672174396339496,232.9465251459,75
2.0,10.0,0.1,0.2,0.0001,0.6412510744204062,244.5584441396373,75
2.0,10.0,0.1,0.2,0.00025118864315095795,0.617716060323725,252.2104843138887,75
2.0,10.0,0.1,0.2,0.000630957344480193,0.593195760176575,259.9506109795664,75
2.0,10.0,0.1,0.2,0.001584893192461114,0.5674147524339009,267.90041849582644,75
2.0,10.0,0.1,0.2,0.003981071705534973,0.5395313170086322,276.3718633880658,75
2.0,10.0,0.1,0.2,0.01,0.509117392142384,285.5294002247715,75
2.0,10.0,0.1,0.3,0.0001,0.55905054069353,270.7292287700509,75
2.0,10.0,0.1,0.3,0.00025118864315095795,0.5275465620933978,280.2601491409422,75
2.0,10.0,0.1,0.3,0.000630957344480193,0.4907643217684342,291.2275379800089,75
2.0,10.0,0.1,0.3,0.001584893192461114,0.4472962713533731,304.00069393924906,75
2.0,10.0,0.1,0.3,0.003981071705534973,0.39889001007280434,317.9645763482637,75
2.0,10.0,0.1,0.3,0.01,0.3524373813792961,331.0870929606589,75
2.0,10.0,0.1,0.5,0.0001,0.3913479914709781,320.11017302818186,75
2.0,10.0,0.1,0.5,0.00025118864315095795,0.3240549964004672,338.9995429745746,75
2.0,10.0,0.1,0.5,0.000630957344480193,0.2522694635849704,358.5507820503267,75
2.0,10.0,0.1,0.5,0.001584893192461114,0.1897434074024577,375.0144754098498,75
2.0,10.0,0.1,0.5,0.003981071705534973,0.14779333156021066,385.68958963941935,75
2.0,10.0,0.1,0.5,0.01,0.12557278037337566,391.18555521864675,75
2.0,10.0,1.0,0.1,0.0001,0.6594803718759101,234.61921685033525,75
2.0,10.0,1.0,0.1,0.00025118864315095795,0.6534357168158118,236.6709644011858,75
2.0,10.0,1.0,0.1,0.000630957344480193,0.6568638805251693,235.26164309976934,75
2.0,10.0,1.0,0.1,0.001584893192461114,0.6682883295484581,230.94928618953546,75
2.0,10.0,1.0,0.1,0.003981071705534973,0.6772112283784689,227.58670049753673,75
