trial_type,trial_number,mean_sample
familiar,1,1.4103175781720116
familiar,2,1.316216454363026
familiar,3,1.2845614526090694
familiar,4,1.2717142625095161
familiar,5,1.2656507440401972
familiar,6,1.2622446007883614
familiar,7,1.2598728699685005
familiar,8,1.2578550056359523
familiar,9,1.2558966225097112
familiar,10,1.253874083286836
familiar,11,1.2517423917908745
novel,2,1.3374952291847624
novel,3,1.3356635232914118
novel,4,1.345099127854212
novel,5,1.357901078174371
novel,6,1.3717280322495597
novel,7,1.385698492238749
novel,8,1.39943118841884
novel,9,1.4127448083554888
novel,10,1.425551073269532
novel,11,1.4378096409427836
