test_type,fam_duration,mean_sample
Familiar,0,1.651856206598375
Familiar,1,1.5655472441967093
Familiar,2,1.5595380259487914
Familiar,3,1.5754353613369843
Familiar,4,1.5964572198477003
Familiar,5,1.6175434007574105
Familiar,6,1.637191938662074
Familiar,7,1.6550263545974075
Familiar,8,1.671035705842308
Familiar,9,1.685317331116649
Novel,0,1.6511631138744332
Novel,1,1.5732969249308335
Novel,2,1.5706285464851073
Novel,3,1.5871202624707215
Novel,4,1.6076583452899806
Novel,5,1.6279061634717236
Novel,6,1.6466765779804142
Novel,7,1.6637383166194208
Novel,8,1.679152355223491
Novel,9,1.6930556716715015
