test_type,fam_duration,mean_sample
Familiar,0,5.564907255401166
Familiar,1,4.395114027176059
Familiar,2,3.652669524884961
Familiar,3,3.155541998027033
Familiar,4,2.8079676387226216
Familiar,5,2.555777443492016
Familiar,6,2.3667270570799324
Familiar,7,2.220844977115361
Familiar,8,2.105344224662709
Familiar,9,2.011794349957086
Novel,0,5.489036460691601
Novel,1,4.856853657859941
Novel,2,4.553631323681365
Novel,3,4.359616592829923
Novel,4,4.214784340273562
Novel,5,4.097505656883082
Novel,6,3.998025347264416
Novel,7,3.911162186770305
Novel,8,3.833810648084393
Novel,9,3.763937072905614
