test_type,fam_duration,mean_sample
Familiar,0,17.124596931271956
Familiar,1,17.006987921504088
Familiar,2,16.838509587145303
Familiar,3,16.64911189350777
Familiar,4,16.45287818752446
Familiar,5,16.25648509631311
Familiar,6,16.06360401005178
Familiar,7,15.874724260863834
Familiar,8,15.690789349267021
Familiar,9,15.512058975618965
Novel,0,17.062866333470165
Novel,1,17.127300851255814
Novel,2,17.147658670366322
Novel,3,17.14694253722937
Novel,4,17.135739851934314
Novel,5,17.119051425168472
Novel,6,17.099749566274596
Novel,7,17.07831536902621
Novel,8,17.0556983446869
Novel,9,17.03235296089728
