metric,test_type,fam_duration,mean_sample
implemented EIG,Familiar,0,43.75712255024408
implemented EIG,Familiar,1,42.50359605177048
implemented EIG,Familiar,2,40.61959201135019
implemented EIG,Familiar,3,39.44684529219452
implemented EIG,Familiar,4,39.62930548805207
implemented EIG,Familiar,5,39.4130012678548
implemented EIG,Familiar,6,38.594596933637455
implemented EIG,Familiar,7,37.71541508642714
implemented EIG,Familiar,8,38.59199549547335
implemented EIG,Familiar,9,39.044311727463715
implemented EIG,Novel,0,43.87517691152269
implemented EIG,Novel,1,42.087808177035754
implemented EIG,Novel,2,40.56869100276949
implemented EIG,Novel,3,39.44643933573733
implemented EIG,Novel,4,39.490054838061575
implemented EIG,Novel,5,38.69025934061671
implemented EIG,Novel,6,38.457008631739605
implemented EIG,Novel,7,37.923688361184375
implemented EIG,Novel,8,37.09305256687229
implemented EIG,Novel,9,38.415487382851765
KL,Familiar,0,264.20808291585416
KL,Familiar,1,254.07638853668254
KL,Familiar,2,247.0547671508425
KL,Familiar,3,232.20575795811723
KL,Familiar,4,219.85254892554192
KL,Familiar,5,219.44400497152745
KL,Familiar,6,212.3578843276879
KL,Familiar,7,202.99743576003152
KL,Familiar,8,201.25390582726706
KL,Familiar,9,193.65459632878614
KL,Novel,0,273.2838358349557
KL,Novel,1,262.2098121025682
KL,Novel,2,252.06836734558783
KL,Novel,3,242.2448754959779
KL,Novel,4,226.1226836120292
KL,Novel,5,221.08572411353828
KL,Novel,6,204.33567652663123
KL,Novel,7,200.6136701569748
KL,Novel,8,202.55752418787765
KL,Novel,9,199.57568780337053
true EIG,Familiar,0,123.26130756320923
true EIG,Familiar,1,116.70844004659443
true EIG,Familiar,2,109.65320268657659
true EIG,Familiar,3,103.93635340606318
true EIG,Familiar,4,97.19031533356883
true EIG,Familiar,5,92.03190869556776
true EIG,Familiar,6,89.8116070578097
true EIG,Familiar,7,84.28815868087663
true EIG,Familiar,8,83.0385925048697
true EIG,Familiar,9,78.7541994729298
true EIG,Novel,0,125.60018776895045
true EIG,Novel,1,117.0051758726691
true EIG,Novel,2,109.1867940732124
true EIG,Novel,3,105.44380118299036
true EIG,Novel,4,95.84322008528454
true EIG,Novel,5,95.0118527951454
true EIG,Novel,6,86.91408156073275
true EIG,Novel,7,86.25804233483211
true EIG,Novel,8,84.32625970756888
true EIG,Novel,9,81.2006740155417
concept EIG,Familiar,0,47.78643325593399
concept EIG,Familiar,1,46.275496481830224
concept EIG,Familiar,2,45.49648944069258
concept EIG,Familiar,3,44.708269078924964
concept EIG,Familiar,4,44.036822349715884
concept EIG,Familiar,5,43.51002435550527
concept EIG,Familiar,6,42.8943768133124
concept EIG,Familiar,7,42.365949021858896
concept EIG,Familiar,8,41.90109166004411
concept EIG,Familiar,9,41.71721852481851
concept EIG,Novel,0,47.416718592458494
concept EIG,Novel,1,46.91752821998171
concept EIG,Novel,2,46.71484705445405
concept EIG,Novel,3,46.749289521212994
concept EIG,Novel,4,46.60066444208778
concept EIG,Novel,5,46.85274601855011
concept EIG,Novel,6,46.79831650130493
concept EIG,Novel,7,46.67659184505337
concept EIG,Novel,8,46.67584977279093
concept EIG,Novel,9,46.632997246919984
surprisal,Familiar,0,79.87124821743606
surprisal,Familiar,1,79.315817534381
surprisal,Familiar,2,78.54609992319827
surprisal,Familiar,3,76.72233794836929
surprisal,Familiar,4,76.68651691196303
surprisal,Familiar,5,77.57513616323372
surprisal,Familiar,6,77.10266454874764
surprisal,Familiar,7,76.61117872696808
surprisal,Familiar,8,76.14311021467117
surprisal,Familiar,9,76.47217050344618
surprisal,Novel,0,80.16483176524676
surprisal,Novel,1,78.8179011659064
surprisal,Novel,2,79.79606407088238
surprisal,Novel,3,79.72819561701125
surprisal,Novel,4,79.55840406689212
surprisal,Novel,5,79.50489989951184
surprisal,Novel,6,80.00459782129813
surprisal,Novel,7,81.184406561258
surprisal,Novel,8,79.66468380822754
surprisal,Novel,9,80.86877075210255
