metric,sel,test_type,fam_duration,mean_sample
implemented EIG,best CV fit,Familiar,0,17.124596931271956
implemented EIG,best CV fit,Familiar,1,17.006987921504088
implemented EIG,best CV fit,Familiar,2,16.838509587145303
implemented EIG,best CV fit,Familiar,3,16.64911189350777
implemented EIG,best CV fit,Familiar,4,16.45287818752446
implemented EIG,best CV fit,Familiar,5,16.25648509631311
implemented EIG,best CV fit,Familiar,6,16.06360401005178
implemented EIG,best CV fit,Familiar,7,15.874724260863834
implemented EIG,best CV fit,Familiar,8,15.690789349267021
implemented EIG,best CV fit,Familiar,9,15.512058975618965
implemented EIG,best CV fit,Novel,0,17.062866333470165
implemented EIG,best CV fit,Novel,1,17.127300851255814
implemented EIG,best CV fit,Novel,2,17.147658670366322
implemented EIG,best CV fit,Novel,3,17.14694253722937
implemented EIG,best CV fit,Novel,4,17.135739851934314
implemented EIG,best CV fit,Novel,5,17.119051425168472
implemented EIG,best CV fit,Novel,6,17.099749566274596
implemented EIG,best CV fit,Novel,7,17.07831536902621
implemented EIG,best CV fit,Novel,8,17.0556983446869
implemented EIG,best CV fit,Novel,9,17.03235296089728
implemented EIG,closest to human amplitude,Familiar,0,20.8417456393769
implemented EIG,closest to human amplitude,Familiar,1,18.188937804152093
implemented EIG,closest to human amplitude,Familiar,2,16.344364262036798
implemented EIG,closest to human amplitude,Familiar,3,15.006764359217385
implemented EIG,closest to human amplitude,Familiar,4,14.0055918170009
implemented EIG,closest to human amplitude,Familiar,5,13.236841645258954
implemented EIG,closest to human amplitude,Familiar,6,12.633540220856473
implemented EIG,closest to human amplitude,Familiar,7,12.150805720149288
implemented EIG,closest to human amplitude,Familiar,8,11.757638173205004
implemented EIG,closest to human amplitude,Familiar,9,11.432157522773098
implemented EIG,closest to human amplitude,Novel,0,20.65285301209836
implemented EIG,closest to human amplitude,Novel,1,19.412269197383342
implemented EIG,closest to human amplitude,Novel,2,18.88716993654049
implemented EIG,closest to human amplitude,Novel,3,18.598651257121738
implemented EIG,closest to human amplitude,Novel,4,18.41570698627509
implemented EIG,closest to human amplitude,Novel,5,18.291120831734997
implemented EIG,closest to human amplitude,Novel,6,18.203278877811943
implemented EIG,closest to human amplitude,Novel,7,18.140594058864796
implemented EIG,closest to human amplitude,Novel,8,18.09611505065754
implemented EIG,closest to human amplitude,Novel,9,18.06532756130865
KL,best CV fit,Familiar,0,2.1452735461499666
KL,best CV fit,Familiar,1,2.121831849034423
KL,best CV fit,Familiar,2,2.1075602569337337
KL,best CV fit,Familiar,3,2.095010848102898
KL,best CV fit,Familiar,4,2.0819459465716337
KL,best CV fit,Familiar,5,2.067663680461086
KL,best CV fit,Familiar,6,2.051994681791676
KL,best CV fit,Familiar,7,2.034988503591967
KL,best CV fit,Familiar,8,2.016776766792601
KL,best CV fit,Familiar,9,1.997520424253527
KL,best CV fit,Novel,0,2.1422600101586786
KL,best CV fit,Novel,1,2.135809336387272
KL,best CV fit,Novel,2,2.134974633311069
KL,best CV fit,Novel,3,2.135971329711627
KL,best CV fit,Novel,4,2.1378426086308058
KL,best CV fit,Novel,5,2.140215840662742
KL,best CV fit,Novel,6,2.1428678449819087
KL,best CV fit,Novel,7,2.145638335024533
