V,alpha,beta,eps,w,r2,rmse,ani_id
1.0,3.0,0.1,0.3,0.0005011872336272725,0.6720338893617388,171.02055540114648,1.412227769489775
1.0,3.0,0.1,0.3,0.00223872113856834,0.6571560298531969,174.8566225606516,1.3554521118716636
1.0,3.0,0.1,0.3,0.01,0.6303013314154204,181.5757183480273,1.2479732569821969
1.0,3.0,0.1,0.5,0.0005011872336272725,0.5993207193812509,189.03066858902446,1.3377962759787734
1.0,3.0,0.1,0.5,0.00223872113856834,0.5493288195876398,200.47661513236915,1.237456112070753
1.0,3.0,0.1,0.5,0.01,0.49361607865844404,212.50726480595893,1.1139475006749835
1.0,3.0,0.1,0.7,0.0005011872336272725,0.5081582099765107,209.4336882276982,1.2438860214363874
1.0,3.0,0.1,0.7,0.00223872113856834,0.43553610157321915,224.36334858259355,1.1246206422577962
1.0,3.0,0.1,0.7,0.01,0.37611459302364614,235.87735077091077,1.0417800154511356
1.0,3.0,0.1,1.0,0.0005011872336272725,0.36543421102136736,237.88779179424222,1.1094142832577474
1.0,3.0,0.1,1.0,0.00223872113856834,0.29481102891678806,250.77635371586206,1.0366002678024893
1.0,3.0,0.1,1.0,0.01,0.2632875867991467,256.32019304840463,1.0093588476311257
1.0,10.0,0.1,0.3,0.0005011872336272725,0.6570075992931126,174.8944695991826,1.5678416883707622
1.0,10.0,0.1,0.3,0.00223872113856834,0.6210420773685831,183.8354757000833,1.470610313272713
1.0,10.0,0.1,0.3,0.01,0.565147849581355,196.92671609316577,1.2926645265477958
1.0,10.0,0.1,0.5,0.0005011872336272725,0.5410350241075259,202.31291163706342,1.416247858345205
1.0,10.0,0.1,0.5,0.00223872113856834,0.4436356141564612,222.74783353218274,1.209579083414541
1.0,10.0,0.1,0.5,0.01,0.34386316663709987,241.8973089002266,1.0674699846523232
1.0,10.0,0.1,0.7,0.0005011872336272725,0.34623163286793873,241.46032416019452,1.1758818915567146
1.0,10.0,0.1,0.7,0.00223872113856834,0.2040482025444942,266.42637244133596,1.053651110598049
1.0,10.0,0.1,0.7,0.01,0.14049621379092467,276.8584127949297,1.0130597367632872
1.0,10.0,0.1,1.0,0.0005011872336272725,0.045107727583901455,291.8172880530742,1.033461631860212
1.0,10.0,0.1,1.0,0.00223872113856834,0.01572450597849826,296.27306060515076,1.0080288607209213
1.0,10.0,0.1,1.0,0.01,0.01048872937161823,297.06001615778445,1.001827555925119
