V,alpha,beta,eps,w,r2,rmse,ani_id
1.0,1.0,0.1,0.2,0.0001,0.43304517189118746,1.6108624224954042,1.4502219331854376
1.0,1.0,0.1,0.2,0.0001687612475788147,0.43287389460553055,1.6111057252199537,1.4651077912004884
1.0,1.0,0.1,0.2,0.0002848035868435802,0.432733824896161,1.6113046696666684,1.4793684469856954
1.0,1.0,0.1,0.2,0.0004806380863064389,0.43261974583879015,1.6114666808047775,1.4918247372346125
1.0,1.0,0.1,0.2,0.0008111308307896872,0.432512501421934,1.611618970770335,1.5007139652303443
1.0,1.0,0.1,0.2,0.0013688745095370807,0.432367761859639,1.6118244820398706,1.5035344433292959
1.0,1.0,0.1,0.2,0.002310129700083158,0.4320988457166015,1.612206238280719,1.4969772872215255
1.0,1.0,0.1,0.2,0.003898603702549072,0.43156392177766845,1.6129653534174027,1.4771443566070934
1.0,1.0,0.1,0.2,0.006579332246575682,0.4306232046804507,1.6142994672174087,1.4404532457741286
1.0,1.0,0.1,0.2,0.011103363181676379,0.42929116087445257,1.616186672174159,1.38568097925189
1.0,1.0,0.1,0.2,0.01873817422860383,0.4277886791684455,1.6183127079273947,1.316524856377543
1.0,1.0,0.1,0.2,0.03162277660168379,0.42638954731812034,1.6202899935681427,1.242021342424155
1.0,1.0,0.1,0.3,0.0001,0.44591595745176077,1.5924728726287878,1.4475388737410242
1.0,1.0,0.1,0.3,0.0001687612475788147,0.445570959068155,1.5929685691575326,1.4547582344681307
1.0,1.0,0.1,0.3,0.0002848035868435802,0.4452731708095623,1.5933963097894857,1.4580942912605488
1.0,1.0,0.1,0.3,0.0004806380863064389,0.4449927158367588,1.5937990480629711,1.4558115490419967
1.0,1.0,0.1,0.3,0.0008111308307896872,0.4446661740676819,1.5942678395967054,1.4458163824809431
1.0,1.0,0.1,0.3,0.0013688745095370807,0.4441916783764868,1.5949487919043168,1.425793750411495
1.0,1.0,0.1,0.3,0.002310129700083158,0.4434458989579484,1.5960184783366842,1.39363446115998
1.0,1.0,0.1,0.3,0.003898603702549072,0.4423484838755578,1.5975912204978897,1.3483865245962625
1.0,1.0,0.1,0.3,0.006579332246575682,0.4409589819202594,1.599580343610671,1.2917286969607455
1.0,1.0,0.1,0.3,0.011103363181676379,0.4394896904037091,1.6016810012783302,1.229013392500012
1.0,1.0,0.1,0.3,0.01873817422860383,0.43817657933973886,1.6035560378853722,1.1681242779273344
1.0,1.0,0.1,0.3,0.03162277660168379,0.43715076126045993,1.6050193148943148,1.1160875350339265
1.0,1.0,0.1,0.4,0.0001,0.4536675846803544,1.5812943024249626,1.4042453987010004
1.0,1.0,0.1,0.4,0.0001687612475788147,0.45293559887860607,1.5823532708296635,1.4036890040954257
1.0,1.0,0.1,0.4,0.0002848035868435802,0.4521584039155129,1.5834768684510423,1.3983742401726316
1.0,1.0,0.1,0.4,0.0004806380863064389,0.45126757260680384,1.584763771277768,1.38677842494884
1.0,1.0,0.1,0.4,0.0008111308307896872,0.4501830564933701,1.5863290637470144,1.3670804466667315
1.0,1.0,0.1,0.4,0.0013688745095370807,0.4488437700990689,1.5882599397826411,1.337463565278451
1.0,1.0,0.1,0.4,0.002310129700083158,0.44725881811275975,1.5905419684119384,1.2970125866869369
1.0,1.0,0.1,0.4,0.003898603702549072,0.4455502266802027,1.5929983527106966,1.2471775589580072
1.0,1.0,0.1,0.4,0.006579332246575682,0.44392298049510726,1.5953342733390652,1.1927257643872886
1.0,1.0,0.1,0.4,0.011103363181676379,0.4425580926650572,1.5972909427926025,1.1405303628066052
1.0,1.0,0.1,0.4,0.01873817422860383,0.441531321715431,1.598761317906717,1.096459510879753
1.0,1.0,0.1,0.4,0.03162277660168379,0.44081994481604597,1.599779244214847,1.0630800905022515
1.0,1.0,0.1,0.5,0.0001,0.45763258269372636,1.5755457454540678,1.3617256972461094
1.0,1.0,0.1,0.5,0.0001687612475788147,0.4562921248581896,1.5774915199077586,1.358683091900705
1.0,1.0,0.1,0.5,0.0002848035868435802,0.45483594566295266,1.5796025564045122,1.350776626327926
1.0,1.0,0.1,0.5,0.0004806380863064389,0.4532311430313248,1.5819257905970388,1.3360280895027095
1.0,1.0,0.1,0.5,0.0008111308307896872,0.4514720017842303,1.5844685434787518,1.3121683205325485
1.0,1.0,0.1,0.5,0.0013688745095370807,0.44960820028450665,1.5871581332098164,1.277618733280175
1.0,1.0,0.1,0.5,0.002310129700083158,0.44776085062977933,1.5898194917731612,1.2331673148458375
1.0,1.0,0.1,0.5,0.003898603702549072,0.44609234750636667,1.592219374319452,1.183137298080694
1.0,1.0,0.1,0.5,0.006579332246575682,0.4447320215912463,1.5941733183409121,1.1342585695832221
1.0,1.0,0.1,0.5,0.011103363181676379,0.4437221176175578,1.5956223759665866,1.0924967648188253
1.0,1.0,0.1,0.5,0.01873817422860383,0.4430262667384105,1.596620050205032,1.0606361326747205
1.0,1.0,0.1,0.5,0.03162277660168379,0.44257195782057,1.5972710780993105,1.0383408094467252
1.0,1.0,0.1,0.7,0.0001,0.4603745801493695,1.5715580275612797,1.3105396443598611
1.0,1.0,0.1,0.7,0.0001687612475788147,0.4581914194453105,1.5747338421598924,1.3056587997660642
1.0,1.0,0.1,0.7,0.0002848035868435802,0.4560300545964191,1.5778716540105944,1.2927466526820468
1.0,1.0,0.1,0.7,0.0004806380863064389,0.4539363779416045,1.5809052594786543,1.2690825584508454
1.0,1.0,0.1,0.7,0.0008111308307896872,0.45198527986222575,1.5837270468616202,1.2338287699688066
1.0,1.0,0.1,0.7,0.0013688745095370807,0.4502719995121586,1.5862007495835961,1.1898031249748924
1.0,1.0,0.1,0.7,0.002310129700083158,0.4488769277814246,1.5882121640270535,1.1432725121131155
1.0,1.0,0.1,0.7,0.003898603702549072,0.4478276329639938,1.5897233603536487,1.1010679471812563
1.0,1.0,0.1,0.7,0.006579332246575682,0.44709248880068336,1.5907812611052508,1.0674251891671558
1.0,1.0,0.1,0.7,0.011103363181676379,0.4466054582187945,1.5914817296016277,1.043151119441262
1.0,1.0,0.1,0.7,0.01873817422860383,0.446295497088619,1.5919273686372524,1.0268374608997737
1.0,1.0,0.1,0.7,0.03162277660168379,0.44610347470243056,1.592203381557799,1.0163829892818237
1.0,1.0,0.1,1.0,0.0001,0.46284430678194594,1.5679575950082347,1.257781588575715
1.0,1.0,0.1,1.0,0.0001687612475788147,0.4605264237839944,1.5713369039230682,1.2406132955499676
1.0,1.0,0.1,1.0,0.0002848035868435802,0.45849149035684267,1.5742977127958242,1.2119291355275035
1.0,1.0,0.1,1.0,0.0004806380863064389,0.4567836826976923,1.5767782658781004,1.1739824745316942
1.0,1.0,0.1,1.0,0.0008111308307896872,0.4554321852366318,1.5787385236394664,1.13251210533713
1.0,1.0,0.1,1.0,0.0013688745095370807,0.4544304485580438,1.5801899073092753,1.0941023031292443
1.0,1.0,0.1,1.0,0.002310129700083158,0.45373279706371816,1.5811999248585258,1.0630713325582195
1.0,1.0,0.1,1.0,0.003898603702549072,0.4532713945724318,1.5818675611257405,1.0404895883788006
1.0,1.0,0.1,1.0,0.006579332246575682,0.45297776424649044,1.5822922891670559,1.0252317703089338
1.0,1.0,0.1,1.0,0.011103363181676379,0.45279579000413067,1.5825554525991827,1.0154216116554804
1.0,1.0,0.1,1.0,0.01873817422860383,0.4526849453730263,1.5827157299596601,1.0093113659843373
1.0,1.0,0.1,1.0,0.03162277660168379,0.452618156922022,1.5828122958283093,1.0055800843220375
1.0,1.0,1.0,0.2,0.0001,0.3965245581878507,1.6619349547804485,1.0726152152140325
1.0,1.0,1.0,0.2,0.0001687612475788147,0.3968489268513685,1.661488248882233,1.0712928540998885
1.0,1.0,1.0,0.2,0.0002848035868435802,0.39716413326311295,1.6610540457338385,1.0696550660515611
1.0,1.0,1.0,0.2,0.0004806380863064389,0.39743753783563807,1.6606773335144458,1.0673210697860518
1.0,1.0,1.0,0.2,0.0008111308307896872,0.3976490989128884,1.660385774089717,1.0630203513542567
1.0,1.0,1.0,0.2,0.0013688745095370807,0.3977998444259506,1.6601779953956217,1.0554353451463085
1.0,1.0,1.0,0.2,0.002310129700083158,0.39790143126812244,1.6600379594361196,1.044864446165358
1.0,1.0,1.0,0.2,0.003898603702549072,0.39796704713251824,1.6599475026578732,1.0333385712963454
1.0,1.0,1.0,0.2,0.006579332246575682,0.3980080943239671,1.6598909132768098,1.023040044899586
1.0,1.0,1.0,0.2,0.011103363181676379,0.39803322068732166,1.6598562720656693,1.0150821369388805
1.0,1.0,1.0,0.2,0.01873817422860383,0.39804839573179723,1.6598353501872705,1.0095122382511665
1.0,1.0,1.0,0.2,0.03162277660168379,0.3980574880768603,1.6598228144181262,1.005856265229999
1.0,1.0,1.0,0.3,0.0001,0.407402711005934,1.6468879494308692,1.0668138794905726
1.0,1.0,1.0,0.3,0.0001687612475788147,0.40808584825082866,1.6459384218683317,1.0653231668446401
1.0,1.0,1.0,0.3,0.0002848035868435802,0.4088015814309648,1.6449429995814682,1.0634367944014764
1.0,1.0,1.0,0.3,0.0004806380863064389,0.4095074152528723,1.6439607547698523,1.0610406417654517
1.0,1.0,1.0,0.3,0.0008111308307896872,0.41011234088531195,1.6431184674568087,1.0578437616572078
1.0,1.0,1.0,0.3,0.0013688745095370807,0.41052086066748217,1.6425494077008982,1.053099382264131
1.0,1.0,1.0,0.3,0.002310129700083158,0.4107185083143299,1.6422740177668302,1.0460365876179105
1.0,1.0,1.0,0.3,0.003898603702549072,0.41077048028961294,1.6422015955816205,1.036948477585309
