setting,metric,world_EIGs,V_prior,alpha_prior,beta_prior,eps_fixed,sd_epsilon,infer_eps,sigma_true,window,r2_21,rmse21_full,rmse21_cv,b21,bg1,bg2,bg11,dev
0,eig_code,3.162277660168379e-06,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,,,,,80.0,80.0,80.0,80.0
0,eig_code,1e-05,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,,,,,80.0,80.0,80.0,80.0
0,eig_code,3.1622776601683795e-05,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.05654770554264782,353.6504224045853,388.8030250004135,24.351703981098783,79.6875,77.6875,69.14583333333333,70.80104166666668
0,eig_code,0.0001,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.05393445399092467,354.1398686858937,387.2950594173745,12.33789879788195,74.34375,65.95833333333333,52.989583333333336,57.08645833333334
0,eig_code,0.0003162277660168,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.05441845071734109,354.04927006649405,390.70603274362827,9.20253583603067,66.77083333333333,55.3125,33.916666666666664,37.723958333333336
0,eig_code,0.001,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.11642560273273198,342.24394255112225,389.541605309217,14.084903374400595,56.5,36.145833333333336,17.270833333333332,22.017708333333335
0,eig_code,0.0031622776601683,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.17665071676008468,330.3743065184271,380.1924978982452,25.591983595615904,37.833333333333336,20.30208333333333,11.65625,13.117708333333335
0,eig_code,0.01,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.17902262755189122,329.8980909093676,381.28583407753365,46.899104665977305,21.92708333333333,9.864583333333334,6.0625,7.935416666666667
0,eig_code,0.0316227766016837,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.15060121393719025,335.5598770719438,384.87021140290557,66.34831392439243,13.479166666666666,7.84375,3.395833333333333,4.711458333333335
0,kl,3.162277660168379e-06,1.0,1.0,0.1,,0.5,True,0.1,exemplar_mean,0.06935055261813552,351.24267058211075,374.21561781289375,32.000191333215284,79.53125,78.47916666666667,67.30208333333333,74.26145833333334
