setting,metric,world_EIGs,V_prior,alpha_prior,beta_prior,eps_fixed,sd_epsilon,infer_eps,sigma_true,window,cond_r2,cond_rmse,n_cond,cond_b,bg1,bg2,bg11,dev1,dev5,dev10
0,mi_concept,3.1622776601683795e-05,3.0,1.0,0.003,,0.5,True,0.1,exemplar_mean,0.7767141074249968,195.7679982935154,75,48.42955786560368,58.375,47.395833333333336,32.760416666666664,53.76041666666666,50.10416666666666,50.71875
0,mi_concept,0.0001,3.0,1.0,0.003,,0.5,True,0.1,exemplar_mean,0.692423018214386,227.34419491531716,75,65.05716983338645,40.04166666666666,33.114583333333336,21.46875,34.520833333333336,33.385416666666664,31.3125
0,mi_concept,0.0003162277660168,3.0,1.0,0.003,,0.5,True,0.1,exemplar_mean,0.8124809095422432,174.32259341152638,75,104.58646070307233,27.229166666666668,20.572916666666668,13.989583333333334,21.979166666666668,20.916666666666668,19.979166666666668
0,mi_concept,0.001,3.0,1.0,0.003,,0.5,True,0.1,exemplar_mean,0.6410944732434632,246.7527860549654,75,158.04789725129967,16.15625,13.885416666666666,8.395833333333334,15.40625,13.020833333333334,12.947916666666666
0,mi_concept,0.0031622776601683,3.0,1.0,0.003,,0.5,True,0.1,exemplar_mean,0.5008123098591916,290.6176891665445,75,206.31183772929248,9.96875,8.854166666666666,5.927083333333333,8.666666666666666,7.65625,6.645833333333333
0,mi_concept,0.01,3.0,1.0,0.003,,0.5,True,0.1,exemplar_mean,0.000971732009618568,407.3334836239689,75,-17.568849976266645,4.229166666666667,5.979166666666667,2.802083333333333,5.885416666666667,3.9479166666666665,4.260416666666667
0,mi_concept,0.0316227766016837,3.0,1.0,0.003,,0.5,True,0.1,exemplar_mean,0.2435256680672774,407.29263902803655,75,-495.4385686256565,2.0416666666666665,2.895833333333333,2.364583333333333,3.0,3.0104166666666665,2.364583333333333
0,mi_concept,0.1,3.0,1.0,0.003,,0.5,True,0.1,exemplar_mean,0.5330477578746686,407.29263902803655,75,-1033.1798268053872,1.1145833333333333,1.5625,1.6145833333333333,1.4270833333333333,1.8125,1.9166666666666667
0,mi_concept,0.3162277660168379,3.0,1.0,0.003,,0.5,True,0.1,exemplar_mean,0.4066877368854954,407.29263902803655,75,-1988.555044261752,1.0520833333333333,1.1041666666666667,1.3229166666666667,1.1041666666666667,1.375,1.2916666666666667
0,mi_concept,1.0,3.0,1.0,0.003,,0.5,True,0.1,exemplar_mean,0.12666633204971592,407.29263902803655,75,-2309.1544570446085,1.03125,1.03125,1.1875,1.0416666666666667,1.1145833333333333,1.0833333333333333
0,mi_concept,3.1622776601683795,3.0,1.0,0.003,,0.5,True,0.1,exemplar_mean,0.09167580868483129,407.29263902803655,75,-5154.909276016578,1.0208333333333333,1.03125,1.1458333333333333,1.03125,1.0416666666666667,1.0520833333333333
1,mi_concept,3.1622776601683795e-05,3.0,1.0,0.003,,0.5,True,0.2,exemplar_mean,0.4988002981373527,288.81946047754457,75,39.39948338798118,68.53125,65.41666666666667,45.32291666666666,66.625,57.833333333333336,56.5625
1,mi_concept,0.0001,3.0,1.0,0.003,,0.5,True,0.2,exemplar_mean,0.5025032118467232,292.3708822629912,75,42.589727119090284,50.10416666666666,45.65625,26.666666666666668,49.802083333333336,44.489583333333336,38.34375
1,mi_concept,0.0003162277660168,3.0,1.0,0.003,,0.5,True,0.2,exemplar_mean,0.700514119557883,220.91438716751964,75,80.88392030923934,31.979166666666668,26.14583333333333,17.84375,30.59375,26.0625,24.15625
1,mi_concept,0.001,3.0,1.0,0.003,,0.5,True,0.2,exemplar_mean,0.32584173887153955,335.3577066568813,75,106.3892523687474,16.302083333333332,16.302083333333332,12.020833333333334,17.760416666666668,14.479166666666666,12.5
1,mi_concept,0.0031622776601683,3.0,1.0,0.003,,0.5,True,0.2,exemplar_mean,0.08997120624297877,390.583649988027,75,123.24993572334012,8.166666666666666,9.1875,6.729166666666667,8.5625,7.427083333333333,7.21875
1,mi_concept,0.01,3.0,1.0,0.003,,0.5,True,0.2,exemplar_mean,0.21829172588284645,407.29263902803655,75,-390.5634666027136,3.25,4.572916666666667,3.395833333333333,4.90625,4.072916666666667,3.59375
1,mi_concept,0.0316227766016837,3.0,1.0,0.003,,0.5,True,0.2,exemplar_mean,0.5830897682208169,407.29263902803655,75,-1003.7227657537143,1.5,1.90625,2.083333333333333,2.020833333333333,2.270833333333333,2.2291666666666665
1,mi_concept,0.1,3.0,1.0,0.003,,0.5,True,0.2,exemplar_mean,0.26043649683590764,407.29263902803655,75,-878.7589783394311,1.1458333333333333,1.21875,1.5208333333333333,1.3125,1.84375,1.6354166666666667
1,mi_concept,0.3162277660168379,3.0,1.0,0.003,,0.5,True,0.2,exemplar_mean,0.28276121744563054,407.29263902803655,75,-2684.194688559183,1.0729166666666667,1.15625,1.3333333333333333,1.0416666666666667,1.15625,1.1875
1,mi_concept,1.0,3.0,1.0,0.003,,0.5,True,0.2,exemplar_mean,0.049156881501048764,407.29263902803655,75,-2988.454329161817,1.0,1.0,1.03125,1.0416666666666667,1.0729166666666667,1.1041666666666667
1,mi_concept,3.1622776601683795,3.0,1.0,0.003,,0.5,True,0.2,exemplar_mean,0.2325753639277281,407.29263902803655,75,-10524.015498394338,1.0,1.0104166666666667,1.0520833333333333,1.0104166666666667,1.0104166666666667,1.0104166666666667
2,mi_concept,3.1622776601683795e-05,3.0,1.0,0.003,,1.0,True,0.1,exemplar_mean,0.6872405192923376,230.25187054601324,75,46.38562348657779,57.53125,48.96875,38.15625,50.375,46.76041666666666,50.57291666666666
2,mi_concept,0.0001,3.0,1.0,0.003,,1.0,True,0.1,exemplar_mean,0.6831554195011124,231.31223362606747,75,74.95155128520476,37.875,33.302083333333336,22.010416666666668,35.0,32.0625,30.86458333333333
2,mi_concept,0.0003162277660168,3.0,1.0,0.003,,1.0,True,0.1,exemplar_mean,0.7365813275443227,212.32241890833816,75,96.97325091056425,26.92708333333333,20.08333333333333,13.0,25.1875,20.229166666666668,20.71875
2,mi_concept,0.001,3.0,1.0,0.003,,1.0,True,0.1,exemplar_mean,0.48673989479832463,293.9172308590375,75,129.79485969108538,15.59375,13.802083333333334,8.791666666666666,15.927083333333334,12.46875,12.104166666666666
2,mi_concept,0.0031622776601683,3.0,1.0,0.003,,1.0,True,0.1,exemplar_mean,0.09512480097071825,389.80609010144155,75,100.76655439521676,8.052083333333334,9.4375,5.78125,9.041666666666666,7.427083333333333,7.770833333333333
2,mi_concept,0.01,3.0,1.0,0.003,,1.0,True,0.1,exemplar_mean,0.10311590901924195,407.29263902803655,75,-181.83325945896792,3.40625,5.333333333333333,3.34375,5.5625,4.604166666666667,4.385416666666667
2,mi_concept,0.0316227766016837,3.0,1.0,0.003,,1.0,True,0.1,exemplar_mean,0.28496435975386525,407.29263902803655,75,-368.9587899742418,1.6458333333333333,2.25,2.364583333333333,2.270833333333333,3.0104166666666665,2.78125
2,mi_concept,0.1,3.0,1.0,0.003,,1.0,True,0.1,exemplar_mean,0.4926920105781355,407.29263902803655,75,-1121.1534457537605,1.1770833333333333,1.46875,1.6666666666666667,1.3020833333333333,1.8645833333333333,1.5
2,mi_concept,0.3162277660168379,3.0,1.0,0.003,,1.0,True,0.1,exemplar_mean,0.4944768286150602,407.29263902803655,75,-2051.606289495602,1.0,1.1145833333333333,1.5,1.0833333333333333,1.2916666666666667,1.34375
2,mi_concept,1.0,3.0,1.0,0.003,,1.0,True,0.1,exemplar_mean,0.14311264218811598,407.29263902803655,75,-2478.0152852590854,1.03125,1.0416666666666667,1.1354166666666667,1.03125,1.1145833333333333,1.1041666666666667
2,mi_concept,3.1622776601683795,3.0,1.0,0.003,,1.0,True,0.1,exemplar_mean,0.029281910326513727,407.29263902803655,75,-2825.485399741394,1.0104166666666667,1.0,1.09375,1.0104166666666667,1.0104166666666667,1.0625
3,mi_concept,3.1622776601683795e-05,3.0,1.0,0.003,,1.0,True,0.2,exemplar_mean,0.4226197560951265,311.69063848708885,75,37.78726097062744,67.75,65.38541666666667,44.520833333333336,62.32291666666666,58.21875,54.583333333333336
3,mi_concept,0.0001,3.0,1.0,0.003,,1.0,True,0.2,exemplar_mean,0.6748217461747266,227.5782444068953,75,45.53534897580204,53.51041666666666,44.65625,28.03125,51.72916666666666,42.91666666666666,35.666666666666664
3,mi_concept,0.0003162277660168,3.0,1.0,0.003,,1.0,True,0.2,exemplar_mean,0.4622315889489038,302.7753781698088,75,58.90257607075439,31.14583333333333,29.260416666666668,17.09375,32.260416666666664,22.58333333333333,22.666666666666668
3,mi_concept,0.001,3.0,1.0,0.003,,1.0,True,0.2,exemplar_mean,0.2815042052980815,348.7818124428061,75,91.93872640376767,16.864583333333332,17.104166666666668,10.15625,16.78125,14.739583333333334,12.34375
3,mi_concept,0.0031622776601683,3.0,1.0,0.003,,1.0,True,0.2,exemplar_mean,0.06807772351253188,407.29263902803655,75,-107.42691986349516,6.458333333333333,9.041666666666666,5.302083333333333,9.239583333333334,8.052083333333334,6.0625
3,mi_concept,0.01,3.0,1.0,0.003,,1.0,True,0.2,exemplar_mean,0.3045696873308623,407.29263902803655,75,-329.9226633480572,3.0625,4.552083333333333,3.4166666666666665,4.270833333333333,3.9583333333333335,3.53125
3,mi_concept,0.0316227766016837,3.0,1.0,0.003,,1.0,True,0.2,exemplar_mean,0.6349595211285604,407.29263902803655,75,-860.0190188685422,1.3645833333333333,1.9895833333333333,2.3854166666666665,1.71875,2.1666666666666665,1.9583333333333333
3,mi_concept,0.1,3.0,1.0,0.003,,1.0,True,0.2,exemplar_mean,0.3141506986938495,407.29263902803655,75,-1155.4334219041398,1.1041666666666667,1.3020833333333333,1.375,1.1354166666666667,1.5729166666666667,1.4270833333333333
3,mi_concept,0.3162277660168379,3.0,1.0,0.003,,1.0,True,0.2,exemplar_mean,0.3213063492852526,407.29263902803655,75,-2974.8839023329297,1.03125,1.0729166666666667,1.28125,1.09375,1.1458333333333333,1.2604166666666667
3,mi_concept,1.0,3.0,1.0,0.003,,1.0,True,0.2,exemplar_mean,0.10877271545240322,407.29263902803655,75,-4067.687492590333,1.0104166666666667,1.03125,1.1041666666666667,1.0104166666666667,1.1041666666666667,1.0833333333333333
3,mi_concept,3.1622776601683795,3.0,1.0,0.003,,1.0,True,0.2,exemplar_mean,0.05722507648376999,407.29263902803655,75,-5872.113221549303,1.0104166666666667,1.0,1.0416666666666667,1.0,1.0,1.03125
4,mi_concept,3.1622776601683795e-05,3.0,1.0,0.01,,0.5,True,0.1,exemplar_mean,0.667689649918745,238.00095562281064,75,58.75516530418221,45.22916666666666,39.40625,28.625,37.552083333333336,39.54166666666666,37.739583333333336
4,mi_concept,0.0001,3.0,1.0,0.01,,0.5,True,0.1,exemplar_mean,0.7338497060625881,214.20684369935447,75,113.15939399227294,29.34375,25.86458333333333,19.6875,26.322916666666668,25.885416666666668,25.197916666666668
4,mi_concept,0.0003162277660168,3.0,1.0,0.01,,0.5,True,0.1,exemplar_mean,0.5198060567080498,290.80664967118105,75,144.11214600136788,18.416666666666668,16.90625,12.53125,17.25,15.375,16.6875
4,mi_concept,0.001,3.0,1.0,0.01,,0.5,True,0.1,exemplar_mean,0.48413836370015023,293.8049611536745,75,230.80664595810939,11.697916666666666,10.46875,8.21875,10.791666666666666,10.197916666666666,8.802083333333334
4,mi_concept,0.0031622776601683,3.0,1.0,0.01,,0.5,True,0.1,exemplar_mean,0.3302881361180234,332.4304449910482,75,257.6402181458721,7.40625,7.625,4.90625,7.5625,6.59375,6.5625
4,mi_concept,0.01,3.0,1.0,0.01,,0.5,True,0.1,exemplar_mean,0.15244599057660135,379.44285773959166,75,525.3877354568361,4.03125,4.083333333333333,3.1354166666666665,4.583333333333333,3.84375,3.59375
4,mi_concept,0.0316227766016837,3.0,1.0,0.01,,0.5,True,0.1,exemplar_mean,0.08863424398425661,407.29263902803655,75,-461.0986738681625,2.1875,2.614583333333333,2.0,2.645833333333333,2.4375,2.09375
4,mi_concept,0.1,3.0,1.0,0.01,,0.5,True,0.1,exemplar_mean,0.30413805895674584,407.29263902803655,75,-2229.923957361782,1.4270833333333333,1.65625,1.4270833333333333,1.5416666666666667,1.6354166666666667,1.5104166666666667
4,mi_concept,0.3162277660168379,3.0,1.0,0.01,,0.5,True,0.1,exemplar_mean,0.4025176233424983,407.29263902803655,75,-3417.5681746953373,1.09375,1.2083333333333333,1.1979166666666667,1.1770833333333333,1.2708333333333333,1.2291666666666667
4,mi_concept,1.0,3.0,1.0,0.01,,0.5,True,0.1,exemplar_mean,0.3984804995790558,407.29263902803655,75,-5906.5656778880875,1.0208333333333333,1.0729166666666667,1.1354166666666667,1.0520833333333333,1.1458333333333333,1.0625
4,mi_concept,3.1622776601683795,3.0,1.0,0.01,,0.5,True,0.1,exemplar_mean,0.312191922717206,407.29263902803655,75,-10297.55351977321,1.0,1.0104166666666667,1.03125,1.0208333333333333,1.0520833333333333,1.09375
5,mi_concept,3.1622776601683795e-05,3.0,1.0,0.01,,0.5,True,0.2,exemplar_mean,0.5433684448271018,278.4696590997287,75,59.48689629191883,56.46875,54.708333333333336,39.1875,53.72916666666666,52.583333333333336,51.79166666666666
5,mi_concept,0.0001,3.0,1.0,0.01,,0.5,True,0.2,exemplar_mean,0.6431225025272644,243.88901013928336,75,64.04556129987911,43.3125,35.854166666666664,25.83333333333333,37.09375,33.802083333333336,29.041666666666668
5,mi_concept,0.0003162277660168,3.0,1.0,0.01,,0.5,True,0.2,exemplar_mean,0.35302081902686167,327.7061040867031,75,83.4311537624041,24.5625,24.17708333333333,16.677083333333332,23.45833333333333,20.80208333333333,17.520833333333332
5,mi_concept,0.001,3.0,1.0,0.01,,0.5,True,0.2,exemplar_mean,0.5439590859030606,272.40296372620617,75,148.71630350339834,16.65625,14.072916666666666,9.15625,15.979166666666666,13.364583333333334,9.625
5,mi_concept,0.0031622776601683,3.0,1.0,0.01,,0.5,True,0.2,exemplar_mean,0.002230501465230592,411.40708029803534,75,22.747468757826876,7.375,8.541666666666666,5.625,8.114583333333334,7.46875,6.302083333333333
5,mi_concept,0.01,3.0,1.0,0.01,,0.5,True,0.2,exemplar_mean,7.063420333071929e-05,409.6962215901639,75,9.945496702084444,4.270833333333333,4.6875,3.8229166666666665,4.552083333333333,4.760416666666667,3.5625
5,mi_concept,0.0316227766016837,3.0,1.0,0.01,,0.5,True,0.2,exemplar_mean,0.3821456034843772,407.29263902803655,75,-1180.5750398060447,2.0416666666666665,2.427083333333333,2.15625,2.34375,2.395833333333333,2.0416666666666665
5,mi_concept,0.1,3.0,1.0,0.01,,0.5,True,0.2,exemplar_mean,0.3589401730353152,407.29263902803655,75,-3101.564225068717,1.4479166666666667,1.65625,1.75,1.5,1.6666666666666667,1.5104166666666667
5,mi_concept,0.3162277660168379,3.0,1.0,0.01,,0.5,True,0.2,exemplar_mean,0.3112887228955595,407.29263902803655,75,-2680.2474099918168,1.0833333333333333,1.1354166666666667,1.3333333333333333,1.1145833333333333,1.25,1.2708333333333333
5,mi_concept,1.0,3.0,1.0,0.01,,0.5,True,0.2,exemplar_mean,0.266177923683364,407.29263902803655,75,-5386.617070626988,1.0208333333333333,1.0520833333333333,1.1666666666666667,1.0625,1.125,1.1354166666666667
5,mi_concept,3.1622776601683795,3.0,1.0,0.01,,0.5,True,0.2,exemplar_mean,0.0015715702725695125,408.51725504273384,75,1225.277106991207,1.0416666666666667,1.0208333333333333,1.0416666666666667,1.0104166666666667,1.03125,1.0208333333333333
6,mi_concept,3.1622776601683795e-05,3.0,1.0,0.01,,1.0,True,0.1,exemplar_mean,0.6024221199289176,260.9208107336034,75,76.87989082927292,41.239583333333336,39.395833333333336,29.229166666666668,40.614583333333336,37.114583333333336,40.82291666666666
