col,metric,rule,setting,pooled_rmse,pooled_r2,within_r2
eig_code__pooled,eig_code,pooled,V3 a1 b0.1 eps0.5 w1.8e-06,4.064028314471678,0.749533003787598,0.0372071387982889
eig_code__within,eig_code,within,V3 a1 b0.1 eps0.5 w1.8e-06,4.064028314471678,0.749533003787598,0.0372071387982889
eig_within__pooled,eig_within,pooled,V3 a1 b0.1 eps0.5 w1.0e-06,4.05197061126746,0.7627227594586955,0.0376767168606149
eig_within__within,eig_within,within,V3 a1 b0.1 eps0.5 w1.0e-06,4.05197061126746,0.7627227594586955,0.0376767168606149
kl__pooled,kl,pooled,V3 a1 b0.1 eps0.1 w5.6e-03,4.028578117907073,0.7826058445310695,0.0388248144179294
kl__within,kl,within,V3 a1 b0.1 eps0.1 w5.6e-03,4.028578117907073,0.7826058445310695,0.0388248144179294
mi__pooled,mi,pooled,V3 a1 b0.1 eps0.3 w1.6e-05,4.072715895211638,0.7473984086421435,0.0362332715898053
mi__within,mi,within,V3 a1 b0.1 eps0.3 w1.6e-05,4.072715895211638,0.7473984086421435,0.0362332715898053
surprisal_b__pooled,surprisal_b,pooled,V2 a10 b0.1 eps0.3 w3.2e-03,4.106474488098113,0.7282950321015137,0.0349117998518564
surprisal_b__within,surprisal_b,within,V3 a10 b0.1 eps0.3 w3.2e-03,4.110306834614105,0.7202346170910517,0.0351351173524017
grid__paper122,grid,paper best CV,param 122,,,
grid__bestwithin,grid,best within,param 121 (r=0.181),,,0.032715409966087246
