setting,metric,world_EIGs,pooled_rmse,pooled_r2,within_r2,within_rmse,within_b,pred_sd,pred_bg1,pred_bg10,pred_dev10,V_prior,alpha_prior,beta_prior,eps_fixed,sd_epsilon,infer_eps
2,eig_code,1e-07,4.8092188652578685,0.060120821930119805,0.004015207114583359,11.639016655071377,1.3932200597273328,0.6268392476985863,3.0365225452592575,1.0000006920492561,1.0000007743216113,1.0,0.1,0.1,,1.0,True
2,eig_code,1.7782794100389227e-07,4.809218820521599,0.06012086528077578,0.00401520919052778,11.639016644277348,1.404300393260919,0.6218890881390496,3.0204542243990047,1.00000038916824,1.0000004354333636,1.0,0.1,0.1,,1.0,True
2,eig_code,3.162277660168379e-07,4.809218795059654,0.06012088995408228,0.0040152103720648945,11.639016638133857,1.4109985893844548,0.6189344570510752,3.0108631040352694,1.0000002188454926,1.0000002448622767,1.0,0.1,0.1,,1.0,True
2,eig_code,5.62341325190349e-07,4.809218780640425,0.060120903926701164,0.004015211041175344,11.639016634654768,1.4152538962584902,0.6170722021517836,3.004817089038332,1.0000001230658988,1.0000001376962093,1.0,0.1,0.1,,1.0,True
2,eig_code,1e-06,4.809218772499133,0.060120911815833164,0.004015211418964258,11.639016632690424,1.4184010265227605,0.6157025747318132,3.000368903177719,1.0000000692050515,1.000000077432279,1.0,0.1,0.1,,1.0,True
2,eig_code,1.778279410038923e-06,4.809218767910417,0.060120916262421185,0.004015211631899175,11.639016631583257,1.4214717058166084,0.6143727107246586,2.996047726872654,1.0000000389168637,1.0000000435433736,1.0,0.1,0.1,,1.0,True
2,eig_code,3.162277660168379e-06,4.8092187653266105,0.060120918766198156,0.004015211751798186,11.639016630959834,1.4254897394602377,0.6126418752372615,2.990421483442301,1.000000021884562,1.0000000244862395,1.0,0.1,0.1,,1.0,True
2,eig_code,5.623413251903491e-06,4.809218763872513,0.060120920175257546,0.004015211819274176,11.639016630608987,1.4317878535058146,0.6099488836510413,2.981666078808319,1.0000000123065937,1.0000000137696248,1.0,0.1,0.1,,1.0,True
2,eig_code,1e-05,4.8092187630543854,0.06012092096804461,0.004015211857238578,11.639016630411588,1.4424101351995535,0.6054604478922818,2.967072584329659,1.0000000069205064,1.000000007743229,1.0,0.1,0.1,,1.0,True
2,eig_code,1.778279410038923e-05,4.809218762594055,0.06012092141411723,0.004015211878599771,11.63901663030052,1.4606666914405821,0.5978986139305734,2.9424865748689597,1.0000000038916868,1.0000000043543376,1.0,0.1,0.1,,1.0,True
2,eig_code,3.1622776601683795e-05,4.809218762334891,0.06012092166525387,0.004015211890626021,11.639016630237986,1.4918482835451412,0.585410680694729,2.9018860518534466,1.0000000021884563,1.000000002448624,1.0,0.1,0.1,,1.0,True
2,eig_code,5.623413251903491e-05,4.809218762188702,0.06012092180691549,0.004015211897409803,11.639016630202715,1.5438757900617186,0.5656955145291479,2.837793857627913,1.0000000012306594,1.0000000013769625,1.0,0.1,0.1,,1.0,True
2,eig_code,0.0001,4.809218762105803,0.060120921887248095,0.004015211901256709,11.639016630182713,1.6270622036616342,0.5367889430987348,2.7438334186867426,1.0000000006920506,1.000000000774323,1.0,0.1,0.1,,1.0,True
2,eig_code,0.00017782794100389227,4.809218762058194,0.06012092193338093,0.004015211903465885,11.639016630171225,1.7512607609095627,0.4987349630237692,2.62016160528364,1.0000000003891687,1.0000000004354337,1.0,0.1,0.1,,1.0,True
2,eig_code,0.00031622776601683794,4.809218762030173,0.06012092196053257,0.004015211904766105,11.639016630164463,1.918882593172756,0.4551772841508428,2.4786342093758753,1.0000000002188456,1.0000000002448624,1.0,0.1,0.1,,1.0,True
2,eig_code,0.0005623413251903491,4.8092187620130975,0.06012092197708133,0.004015211905558581,11.639016630160345,2.116731397851169,0.41263188531919515,2.340427722265766,1.000000000123066,1.0000000001376963,1.0,0.1,0.1,,1.0,True
2,eig_code,0.001,4.809218762002365,0.06012092198747991,0.004015211906056537,11.639016630157755,2.316472740253297,0.3770442753307443,2.2248473280560535,1.000000000069205,1.0000000000774323,1.0,0.1,0.1,,1.0,True
2,eig_code,0.0017782794100389228,4.8092187619955675,0.060120921994066,0.004015211906371929,11.639016630156114,2.4887925910989255,0.3509278215189107,2.1400409405961116,1.0000000000389169,1.0000000000435434,1.0,0.1,0.1,,1.0,True
2,eig_code,0.0031622776601683794,4.809218761991334,0.06012092199817095,0.004015211906568503,11.639016630155092,2.6186036095412546,0.33352191123684427,2.0835261343960743,1.0000000000218845,1.0000000000244862,1.0,0.1,0.1,,1.0,True
2,eig_code,0.005623413251903491,4.809218761988765,0.0601209220006611,0.00401521190668775,11.639016630154472,2.7071271246382365,0.32260871183767276,2.0480946464512475,1.0000000000123066,1.0000000000137697,1.0,0.1,0.1,,1.0,True
2,eig_code,0.01,4.809218761987244,0.06012092200213347,0.00401521190675826,11.639016630154106,2.7642010479490127,0.3159431289634772,2.0264540810886054,1.0000000000069205,1.0000000000077434,1.0,0.1,0.1,,1.0,True
2,eig_code,0.01778279410038923,4.8092187619863624,0.060120922002987506,0.004015211906799159,11.639016630153895,2.8010125458665702,0.3117883113806964,2.0129642049677705,1.0000000000038918,1.0000000000043543,1.0,0.1,0.1,,1.0,True
2,eig_code,0.03162277660168379,4.809218761985857,0.0601209220034768,0.004015211906822589,11.639016630153773,2.827066642545369,0.3089135976878943,2.0036287804240236,1.0000000000021885,1.0000000000024487,1.0,0.1,0.1,,1.0,True
2,eig_code,0.05623413251903491,4.809218761985569,0.06012092200375486,0.004015211906835902,11.639016630153701,2.850190250872256,0.3064071012581989,1.995486334910723,1.0000000000012308,1.000000000001377,1.0,0.1,0.1,,1.0,True
2,eig_code,0.1,4.809218761985409,0.06012092200391226,0.00401521190684344,11.639016630153662,2.877911208103758,0.3034563443878337,1.985897493519535,1.0000000000006921,1.0000000000007743,1.0,0.1,0.1,,1.0,True
2,eig_within,1e-07,4.813810848285788,0.05498135578301096,0.00376161873132951,11.640432315731683,0.8543873570196383,0.9882591654476862,4.239025361003705,1.0600712279634497,1.074589292576688,1.0,0.1,0.1,,1.0,True
2,eig_within,1.7782794100389227e-07,4.812104239263341,0.05694594231456488,0.003858924753258153,11.639880826808751,0.8873695015793559,0.9641284430440784,4.149097166288817,1.0362319481762516,1.0447317335278865,1.0,0.1,0.1,,1.0,True
2,eig_within,3.162277660168379e-07,4.810959298770321,0.05822581904814187,0.003922060888669812,11.639528549646888,0.9101968010619225,0.9478665139732217,4.089250867700085,1.0212828475115812,1.0261645035417328,1.0,0.1,0.1,,1.0,True
2,eig_within,5.62341325190349e-07,4.810239991670917,0.059015952494459116,0.0039609451190590695,11.639313734346702,0.9248449870143594,0.9376328922373506,4.051861901181623,1.0122848753107303,1.0150606167397453,1.0,0.1,0.1,,1.0,True
2,eig_within,1e-06,4.8098075858518285,0.05948613288332318,0.0039840518372828366,11.639186847080788,0.933814775710343,0.9314320592841153,4.029318276648778,1.0070144232071805,1.0085845932535205,1.0,0.1,0.1,,1.0,True
2,eig_within,1.778279410038923e-06,4.809554736261893,0.05975947644001044,0.003997474549201793,11.639113398001532,0.9392127952895537,0.9276967815469965,4.015811161796509,1.0039792158235892,1.0048650247922577,1.0,0.1,0.1,,1.0,True
2,eig_within,3.162277660168379e-06,4.809409312986532,0.05991616800747211,0.004005165549785111,11.639071398444436,0.9425424146855312,0.9253426343883391,4.007383889691077,1.0022488705506083,1.0027478771391996,1.0,0.1,0.1,,1.0,True
2,eig_within,5.623413251903491e-06,4.809326479795073,0.06000525303359127,0.004009537066846338,11.63904755386379,0.944823950178028,0.9236312476718905,4.001383349485282,1.00126821164256,1.0015490984877873,1.0,0.1,0.1,,1.0,True
2,eig_within,1e-05,4.809279559284779,0.0600556617161121,0.004012010333388238,11.639034072230269,0.9467947778103013,0.9220038675701747,3.9958477748510135,1.0007143066141462,1.0008723471875036,1.0,0.1,0.1,,1.0,True
2,eig_within,1.778279410038923e-05,4.809253065038748,0.06008410870820201,0.004013405953018429,11.63902646761677,0.9491057475051772,0.9199250004709323,3.988953942561587,1.0004020455179932,1.0004909454405653,1.0,0.1,0.1,,1.0,True
2,eig_within,3.1622776601683795e-05,4.80923813105686,0.060100138034576034,0.004014192321990778,11.639022183657016,0.9525137130474738,0.9167268019032782,3.9784848300189743,1.0002262013179026,1.0002762019923874,1.0,0.1,0.1,,1.0,True
2,eig_within,5.623413251903491e-05,4.8092297209689026,0.06010916326964477,0.0040146350720016155,11.639019771940232,0.9580965360232201,0.911437046929598,3.961255130213259,1.0001272386001159,1.0001553587535041,1.0,0.1,0.1,,1.0,True
2,eig_within,0.0001,4.8092249862044625,0.06011424381593148,0.004014884304263905,11.639018414429993,0.9675077129348382,0.9026000462101084,3.9325204868686794,1.000071562993863,1.000087376973841,1.0,0.1,0.1,,1.0,True
2,eig_within,0.00017782794100389227,4.8092223193019015,0.06011710531310916,0.004015024677293578,11.639017649879321,0.9832252765998996,0.8881869432455473,3.885680934721005,1.0000402464574902,1.000049139582417,1.0,0.1,0.1,,1.0,True
2,eig_within,0.00031622776601683794,4.809220814095687,0.06011872029480092,0.004015103901151089,11.639017218390622,1.0085775343580472,0.865869066860301,3.8131659922385306,1.000022633393959,1.000027634451125,1.0,0.1,0.1,,1.0,True
2,eig_within,0.0005623413251903491,4.809219960001588,0.06011963666106009,0.004015148853910729,11.63901697356063,1.0470296342163623,0.8340741330996412,3.709864339093217,1.000012728055734,1.0000155403838848,1.0,0.1,0.1,,1.0,True
2,eig_within,0.001,4.809219469858746,0.060120162534640816,0.004015174650838452,11.639016833061605,1.1001324518171085,0.7938158232376545,3.579066994607913,1.0000071576265206,1.0000087391234092,1.0,0.1,0.1,,1.0,True
2,eig_within,0.0017782794100389228,4.809219183407971,0.060120469865389076,0.0040151897270520615,11.63901675095163,1.1646714147254063,0.749828660818993,3.436154410463692,1.0000040250654845,1.000004914409244,1.0,0.1,0.1,,1.0,True
2,eig_within,0.0031622776601683794,4.809219012660181,0.06012065305868175,0.004015198713656461,11.639016702007762,1.2319533041293984,0.7088786310458782,3.3031082774238207,1.0000022634721384,1.0000027635877415,1.0,0.1,0.1,,1.0,True
2,eig_within,0.005623413251903491,4.809218909793601,0.06012076342280262,0.004015204127601433,11.639016672521757,1.2917580386859604,0.6760606145844119,3.19648203626711,1.000001272847552,1.0000015540834934,1.0,0.1,0.1,,1.0,True
2,eig_within,0.01,4.809218848069592,0.06012082964555696,0.004015207376177904,11.639016654829026,1.337845033107504,0.6527721079279513,3.1208167927086876,1.0000007157759272,1.0000008739266046,1.0,0.1,0.1,,1.0,True
2,eig_within,0.01778279410038923,4.809218811543897,0.060120868833400315,0.004015209298548763,11.639016644359218,1.3696225451074742,0.6376273640072493,3.0716107121221157,1.0000004025107465,1.000000491445435,1.0,0.1,0.1,,1.0,True
2,eig_within,0.03162277660168379,4.809218790267193,0.06012089166083053,0.004015210418354811,11.639016638260419,1.3899233563420985,0.6283147918755602,3.0413535956170494,1.0000002263485415,1.0000002763602005,1.0,0.1,0.1,,1.0,True
2,eig_within,0.05623413251903491,4.8092187780313,0.06012090478851862,0.004015211062337244,11.639016634753098,1.402330217538429,0.622756143954095,3.0232932165829545,1.000000127285175,1.0000001554088005,1.0,0.1,0.1,,1.0,True
2,eig_within,0.1,4.8092187710568,0.060120912271343176,0.004015211429409301,11.639016632753915,1.4098236393474888,0.6194462332275882,3.0125391838919593,1.0000000715777255,1.000000087392803,1.0,0.1,0.1,,1.0,True
2,kl,1e-07,4.809218618013272,0.060121054746779146,0.004015218220289748,11.639016598484734,1.3922466819732815,0.6272669070640564,4.0379483272247425,1.999999040454818,1.9999994476918468,1.0,0.1,0.1,,1.0,True
