V_prior,alpha_prior,beta_prior,eps_fixed,sd_epsilon,infer_eps
1.0,0.1,0.1,,0.1,True
1.0,0.1,0.1,,0.5,True
1.0,0.1,0.1,,1.0,True
1.0,0.1,1.0,,0.1,True
1.0,0.1,1.0,,0.5,True
1.0,0.1,1.0,,1.0,True
1.0,0.1,10.0,,0.1,True
1.0,0.1,10.0,,0.5,True
1.0,0.1,10.0,,1.0,True
1.0,1.0,0.1,,0.1,True
1.0,1.0,0.1,,0.5,True
1.0,1.0,0.1,,1.0,True
1.0,1.0,1.0,,0.1,True
1.0,1.0,1.0,,0.5,True
1.0,1.0,1.0,,1.0,True
1.0,1.0,10.0,,0.1,True
1.0,1.0,10.0,,0.5,True
1.0,1.0,10.0,,1.0,True
1.0,10.0,0.1,,0.1,True
1.0,10.0,0.1,,0.5,True
1.0,10.0,0.1,,1.0,True
1.0,10.0,1.0,,0.1,True
1.0,10.0,1.0,,0.5,True
1.0,10.0,1.0,,1.0,True
1.0,10.0,10.0,,0.1,True
1.0,10.0,10.0,,0.5,True
1.0,10.0,10.0,,1.0,True
2.0,0.1,0.1,,0.1,True
2.0,0.1,0.1,,0.5,True
2.0,0.1,0.1,,1.0,True
2.0,0.1,1.0,,0.1,True
2.0,0.1,1.0,,0.5,True
2.0,0.1,1.0,,1.0,True
2.0,0.1,10.0,,0.1,True
2.0,0.1,10.0,,0.5,True
2.0,0.1,10.0,,1.0,True
2.0,1.0,0.1,,0.1,True
2.0,1.0,0.1,,0.5,True
2.0,1.0,0.1,,1.0,True
2.0,1.0,1.0,,0.1,True
2.0,1.0,1.0,,0.5,True
2.0,1.0,1.0,,1.0,True
2.0,1.0,10.0,,0.1,True
2.0,1.0,10.0,,0.5,True
2.0,1.0,10.0,,1.0,True
2.0,10.0,0.1,,0.1,True
2.0,10.0,0.1,,0.5,True
2.0,10.0,0.1,,1.0,True
2.0,10.0,1.0,,0.1,True
2.0,10.0,1.0,,0.5,True
2.0,10.0,1.0,,1.0,True
2.0,10.0,10.0,,0.1,True
2.0,10.0,10.0,,0.5,True
2.0,10.0,10.0,,1.0,True
3.0,0.1,0.1,,0.1,True
3.0,0.1,0.1,,0.5,True
3.0,0.1,0.1,,1.0,True
3.0,0.1,1.0,,0.1,True
3.0,0.1,1.0,,0.5,True
3.0,0.1,1.0,,1.0,True
3.0,0.1,10.0,,0.1,True
3.0,0.1,10.0,,0.5,True
3.0,0.1,10.0,,1.0,True
3.0,1.0,0.1,,0.1,True
3.0,1.0,0.1,,0.5,True
3.0,1.0,0.1,,1.0,True
3.0,1.0,1.0,,0.1,True
3.0,1.0,1.0,,0.5,True
3.0,1.0,1.0,,1.0,True
3.0,1.0,10.0,,0.1,True
3.0,1.0,10.0,,0.5,True
3.0,1.0,10.0,,1.0,True
3.0,10.0,0.1,,0.1,True
3.0,10.0,0.1,,0.5,True
3.0,10.0,0.1,,1.0,True
3.0,10.0,1.0,,0.1,True
3.0,10.0,1.0,,0.5,True
3.0,10.0,1.0,,1.0,True
3.0,10.0,10.0,,0.1,True
3.0,10.0,10.0,,0.5,True
3.0,10.0,10.0,,1.0,True
