V_prior,alpha_prior,beta_prior,eps_fixed,sd_epsilon,infer_eps
1.0,0.1,0.1,0.1,,False
1.0,0.1,0.1,0.2,,False
1.0,0.1,0.1,0.3,,False
1.0,0.1,0.1,0.5,,False
1.0,0.1,0.1,1.0,,False
1.0,0.1,1.0,0.1,,False
1.0,0.1,1.0,0.2,,False
1.0,0.1,1.0,0.3,,False
1.0,0.1,1.0,0.5,,False
1.0,0.1,1.0,1.0,,False
1.0,0.1,10.0,0.1,,False
1.0,0.1,10.0,0.2,,False
1.0,0.1,10.0,0.3,,False
1.0,0.1,10.0,0.5,,False
1.0,0.1,10.0,1.0,,False
1.0,1.0,0.1,0.1,,False
1.0,1.0,0.1,0.2,,False
1.0,1.0,0.1,0.3,,False
1.0,1.0,0.1,0.5,,False
1.0,1.0,0.1,1.0,,False
1.0,1.0,1.0,0.1,,False
1.0,1.0,1.0,0.2,,False
1.0,1.0,1.0,0.3,,False
1.0,1.0,1.0,0.5,,False
1.0,1.0,1.0,1.0,,False
1.0,1.0,10.0,0.1,,False
1.0,1.0,10.0,0.2,,False
1.0,1.0,10.0,0.3,,False
1.0,1.0,10.0,0.5,,False
1.0,1.0,10.0,1.0,,False
1.0,10.0,0.1,0.1,,False
1.0,10.0,0.1,0.2,,False
1.0,10.0,0.1,0.3,,False
1.0,10.0,0.1,0.5,,False
1.0,10.0,0.1,1.0,,False
1.0,10.0,1.0,0.1,,False
1.0,10.0,1.0,0.2,,False
1.0,10.0,1.0,0.3,,False
1.0,10.0,1.0,0.5,,False
1.0,10.0,1.0,1.0,,False
1.0,10.0,10.0,0.1,,False
1.0,10.0,10.0,0.2,,False
1.0,10.0,10.0,0.3,,False
1.0,10.0,10.0,0.5,,False
1.0,10.0,10.0,1.0,,False
2.0,0.1,0.1,0.1,,False
2.0,0.1,0.1,0.2,,False
2.0,0.1,0.1,0.3,,False
2.0,0.1,0.1,0.5,,False
2.0,0.1,0.1,1.0,,False
2.0,0.1,1.0,0.1,,False
2.0,0.1,1.0,0.2,,False
2.0,0.1,1.0,0.3,,False
2.0,0.1,1.0,0.5,,False
2.0,0.1,1.0,1.0,,False
2.0,0.1,10.0,0.1,,False
2.0,0.1,10.0,0.2,,False
2.0,0.1,10.0,0.3,,False
2.0,0.1,10.0,0.5,,False
2.0,0.1,10.0,1.0,,False
2.0,1.0,0.1,0.1,,False
2.0,1.0,0.1,0.2,,False
2.0,1.0,0.1,0.3,,False
2.0,1.0,0.1,0.5,,False
2.0,1.0,0.1,1.0,,False
2.0,1.0,1.0,0.1,,False
2.0,1.0,1.0,0.2,,False
2.0,1.0,1.0,0.3,,False
2.0,1.0,1.0,0.5,,False
2.0,1.0,1.0,1.0,,False
2.0,1.0,10.0,0.1,,False
2.0,1.0,10.0,0.2,,False
2.0,1.0,10.0,0.3,,False
2.0,1.0,10.0,0.5,,False
2.0,1.0,10.0,1.0,,False
2.0,10.0,0.1,0.1,,False
2.0,10.0,0.1,0.2,,False
2.0,10.0,0.1,0.3,,False
2.0,10.0,0.1,0.5,,False
2.0,10.0,0.1,1.0,,False
2.0,10.0,1.0,0.1,,False
2.0,10.0,1.0,0.2,,False
2.0,10.0,1.0,0.3,,False
2.0,10.0,1.0,0.5,,False
2.0,10.0,1.0,1.0,,False
2.0,10.0,10.0,0.1,,False
2.0,10.0,10.0,0.2,,False
2.0,10.0,10.0,0.3,,False
2.0,10.0,10.0,0.5,,False
2.0,10.0,10.0,1.0,,False
3.0,0.1,0.1,0.1,,False
3.0,0.1,0.1,0.2,,False
3.0,0.1,0.1,0.3,,False
3.0,0.1,0.1,0.5,,False
3.0,0.1,0.1,1.0,,False
3.0,0.1,1.0,0.1,,False
3.0,0.1,1.0,0.2,,False
3.0,0.1,1.0,0.3,,False
3.0,0.1,1.0,0.5,,False
3.0,0.1,1.0,1.0,,False
3.0,0.1,10.0,0.1,,False
3.0,0.1,10.0,0.2,,False
3.0,0.1,10.0,0.3,,False
3.0,0.1,10.0,0.5,,False
3.0,0.1,10.0,1.0,,False
3.0,1.0,0.1,0.1,,False
3.0,1.0,0.1,0.2,,False
3.0,1.0,0.1,0.3,,False
3.0,1.0,0.1,0.5,,False
3.0,1.0,0.1,1.0,,False
3.0,1.0,1.0,0.1,,False
3.0,1.0,1.0,0.2,,False
3.0,1.0,1.0,0.3,,False
3.0,1.0,1.0,0.5,,False
3.0,1.0,1.0,1.0,,False
3.0,1.0,10.0,0.1,,False
3.0,1.0,10.0,0.2,,False
3.0,1.0,10.0,0.3,,False
3.0,1.0,10.0,0.5,,False
3.0,1.0,10.0,1.0,,False
3.0,10.0,0.1,0.1,,False
3.0,10.0,0.1,0.2,,False
3.0,10.0,0.1,0.3,,False
3.0,10.0,0.1,0.5,,False
3.0,10.0,0.1,1.0,,False
3.0,10.0,1.0,0.1,,False
3.0,10.0,1.0,0.2,,False
3.0,10.0,1.0,0.3,,False
3.0,10.0,1.0,0.5,,False
3.0,10.0,1.0,1.0,,False
3.0,10.0,10.0,0.1,,False
3.0,10.0,10.0,0.2,,False
3.0,10.0,10.0,0.3,,False
3.0,10.0,10.0,0.5,,False
3.0,10.0,10.0,1.0,,False
