metric,rule,inf_exp2_r2_mc_sd,inf_exp2_r2_mc_lo,inf_exp2_r2_mc_hi,inf_setting,inf_exp1_rmse,inf_exp1_r2,inf_exp1_within_r2,inf_exp2_r2,inf_exp2_rmse,inf_exp2_rmse_carry,inf_order,inf_background,inf_pose,inf_number,inf_identity,inf_animacy,adu_exp2_r2_mc_sd,adu_exp2_r2_mc_lo,adu_exp2_r2_mc_hi,adu_setting,adu_exp1_r2,adu_exp1_rmse,adu_exp2_r2,adu_exp2_rmse_s,adu_order,adu_fam1,adu_fam6,adu_pose,adu_number,adu_identity,adu_animacy
eig_code,paper,0.2586261034336692,0.0009180859976630349,0.88761483657392,V3 a1 b1 sd0.5 st0.1 w1.0e-03,4.417955364857427,0.4592090277029514,0.0231024583593676,0.37348548003166454,2.139361724696501,,back>iden>numb>pose>anim,37.333126448909724,34.81289232894236,36.119852905838464,36.55893275411558,33.40699924643604,0.007982918109696958,0.2686220680354424,0.3002206637048479,V3 a1 b1 sd1 st0.1 w1.0e-02,0.2442224386768781,368.7772142779567,0.28514314318869904,0.2524895285043693,numb>pose>iden>anim,14.685416666666665,5.33359375,6.192274305555556,6.193142361111111,6.152994791666667,6.053602430555556
eig_code,r2,0.2586261034336692,0.0009180859976630349,0.88761483657392,V3 a1 b1 sd0.5 st0.1 w1.0e-03,4.417955364857427,0.4592090277029514,0.0231024583593676,0.37348548003166454,2.139361724696501,,back>iden>numb>pose>anim,37.333126448909724,34.81289232894236,36.119852905838464,36.55893275411558,33.40699924643604,0.007982918109696958,0.2686220680354424,0.3002206637048479,V3 a1 b1 sd1 st0.1 w1.0e-02,0.2442224386768781,368.7772142779567,0.28514314318869904,0.2524895285043693,numb>pose>iden>anim,14.685416666666665,5.33359375,6.192274305555556,6.193142361111111,6.152994791666667,6.053602430555556
mi,paper,0.21087886551405846,0.00016833778990304031,0.7619445627650843,V3 a1 b0.1 sd0.5 st0.1 w4.6e-04,4.570761486421422,0.2891155404085334,0.0165179092447439,0.034678413168143275,2.1019395921737156,,iden>back>anim>numb>pose,74.93470908811399,68.6543932994154,73.9880907378715,76.30276154515293,74.74031451608492,0.008157824099960662,0.35651827601847524,0.38680505581122804,V1 a10 b0.1 sd0.5 st0.1 w1.0e-02,0.2562998906073904,370.4068218902119,0.37154568221959033,0.23673947758677777,anim>iden>numb>pose,18.730794270833332,6.176106770833333,7.839626736111111,7.850911458333333,7.983181423611112,8.773003472222223
mi,r2,0.21087886551405846,0.00016833778990304031,0.7619445627650843,V3 a1 b0.1 sd0.5 st0.1 w4.6e-04,4.570761486421422,0.2891155404085334,0.0165179092447439,0.034678413168143275,2.1019395921737156,,iden>back>anim>numb>pose,74.93470908811399,68.6543932994154,73.9880907378715,76.30276154515293,74.74031451608492,0.008157824099960662,0.35651827601847524,0.38680505581122804,V1 a10 b0.1 sd0.5 st0.1 w1.0e-02,0.2562998906073904,370.4068218902119,0.37154568221959033,0.23673947758677777,anim>iden>numb>pose,18.730794270833332,6.176106770833333,7.839626736111111,7.850911458333333,7.983181423611112,8.773003472222223
kl,paper,0.17241851773168368,0.0004189466573177579,0.6255192015217438,V3 a1 b0.1 sd0.5 st0.1 w4.6e-05,4.491790914653061,0.3733568334655857,0.0214889965868217,0.12671489041007963,1.9992276477199147,,iden>numb>anim>back>pose,171.59905201884885,140.47587103664407,174.55905390428347,177.88949939171218,173.57277434747675,0.00774953077536618,0.4455226977191104,0.4751927146737312,V1 a10 b0.1 sd1 st0.1 w1.0e-02,0.2978191239951508,337.3915903501314,0.4607307670485381,0.2192989989726242,anim>iden>numb>pose,12.1861328125,4.43046875,5.6884765625,5.757269965277778,5.895290798611111,6.779622395833333
kl,r2,0.17241851773168368,0.0004189466573177579,0.6255192015217438,V3 a1 b0.1 sd0.5 st0.1 w4.6e-05,4.491790914653061,0.3733568334655857,0.0214889965868217,0.12671489041007963,1.9992276477199147,,iden>numb>anim>back>pose,171.59905201884885,140.47587103664407,174.55905390428347,177.88949939171218,173.57277434747675,0.007692687925576611,0.4719215171762689,0.4998586664858394,V1 a10 b0.1 sd0.5 st0.1 w3.2e-02,0.2811958693203987,350.8821218661616,0.485860009587881,0.21412852246616743,anim>iden>numb>pose,7.711588541666667,2.8286458333333333,3.626953125,3.7098524305555554,3.779622395833334,4.588541666666667
surprisal_b,paper,0.060133098342548805,0.3780963242991473,0.6069409621332202,V1 a10 b0.1 sd1 st0.2 w5.6e-02,4.110222169108809,0.719448899426346,0.0331416451185665,0.49357881647345003,1.5224398864111792,,anim>iden>numb>pose>back,75.7146092099854,75.92230391658447,78.43889687478547,80.86047147718897,94.08085152842716,0.02785572279684268,0.5791867156670427,0.6898534021861761,V1 a10 b0.1 sd1 st0.1 w1.0e+00,0.7718146471498036,182.20132055326405,0.641256546263392,0.17886518669603577,anim>iden>numb>pose,6.850455729166667,5.6210286458333325,5.909071180555556,5.978624131944444,6.160590277777778,7.462348090277778
surprisal_b,r2,0.060133098342548805,0.3780963242991473,0.6069409621332202,V1 a10 b0.1 sd1 st0.2 w5.6e-02,4.110222169108809,0.719448899426346,0.0331416451185665,0.49357881647345003,1.5224398864111792,,anim>iden>numb>pose>back,75.7146092099854,75.92230391658447,78.43889687478547,80.86047147718897,94.08085152842716,0.02785572279684268,0.5791867156670427,0.6898534021861761,V1 a10 b0.1 sd1 st0.1 w1.0e+00,0.7718146471498036,182.20132055326405,0.641256546263392,0.17886518669603577,anim>iden>numb>pose,6.850455729166667,5.6210286458333325,5.909071180555556,5.978624131944444,6.160590277777778,7.462348090277778
mi_concept,paper,0.027155807687293258,0.4546766235422028,0.5615106497702119,V3 a1 b0.1 sd1 st0.2 w1.0e-05,4.076386521580853,0.754902091896487,0.0358972091940305,0.5096167446995887,1.4981387511853785,,anim>iden>numb>pose>back,38.70880069360025,38.926114857748054,40.65344122129693,42.413244674349414,48.61220041450474,0.019364530587814274,0.7420951455952622,0.8148877159326418,V3 a1 b0.1 sd0.5 st0.1 w1.0e-04,0.8512698052774885,130.93772396272175,0.7869995143670229,0.13782376974551733,anim>iden>numb>pose,13.888541666666669,11.31484375,12.104926215277779,12.111545138888888,12.219184027777779,13.658094618055555
mi_concept,r2,0.027155807687293258,0.4546766235422028,0.5615106497702119,V3 a1 b0.1 sd1 st0.2 w1.0e-05,4.076386521580853,0.754902091896487,0.0358972091940305,0.5096167446995887,1.4981387511853785,,anim>iden>numb>pose>back,38.70880069360025,38.926114857748054,40.65344122129693,42.413244674349414,48.61220041450474,0.019364530587814274,0.7420951455952622,0.8148877159326418,V3 a1 b0.1 sd0.5 st0.1 w1.0e-04,0.8512698052774885,130.93772396272175,0.7869995143670229,0.13782376974551733,anim>iden>numb>pose,13.888541666666669,11.31484375,12.104926215277779,12.111545138888888,12.219184027777779,13.658094618055555
