metric,rule,inf_exp2_r2_mc_sd,inf_exp2_r2_mc_lo,inf_exp2_r2_mc_hi,inf_setting,inf_exp1_rmse,inf_exp1_r2,inf_exp1_within_r2,inf_exp2_r2,inf_exp2_rmse,inf_exp2_rmse_carry,inf_order,inf_background,inf_pose,inf_number,inf_identity,inf_animacy,adu_exp2_r2_mc_sd,adu_exp2_r2_mc_lo,adu_exp2_r2_mc_hi,adu_setting,adu_exp1_r2,adu_exp1_rmse,adu_exp2_r2,adu_exp2_rmse_s,adu_order,adu_fam1,adu_fam6,adu_pose,adu_number,adu_identity,adu_animacy
mi,paper,0.2108788655140602,0.0001683377898981,0.7619445627646529,V3 a1 b0.1 sd0.5 st0.1 w4.6e-04,4.570761486421422,0.2891155404085334,0.0165179092447439,0.0346784131682803,2.1019395921735677,,iden>back>anim>numb>pose,74.93470908811214,68.65439329941178,73.9880907378722,76.30276154515009,74.7403145160839,0.0069421922511578,0.3420053399283709,0.3702842501158992,V0.1 a10 b0.1 sd1 st0.1 w1.0e-01,0.2375956369902297,374.6447195789891,0.3537840345716146,0.2400615851587463,anim>iden>pose>numb,7.575526540917828,2.279683646328837,3.043402777777778,3.037240537240537,3.135584469227592,3.4591074681238614
mi,r2,0.2108788655140602,0.0001683377898981,0.7619445627646529,V3 a1 b0.1 sd0.5 st0.1 w4.6e-04,4.570761486421422,0.2891155404085334,0.0165179092447439,0.0346784131682803,2.1019395921735677,,iden>back>anim>numb>pose,74.93470908811214,68.65439329941178,73.9880907378722,76.30276154515009,74.7403145160839,0.0069421922511578,0.3420053399283709,0.3702842501158992,V0.1 a10 b0.1 sd1 st0.1 w1.0e-01,0.2375956369902297,374.6447195789891,0.3537840345716146,0.2400615851587463,anim>iden>pose>numb,7.575526540917828,2.279683646328837,3.043402777777778,3.037240537240537,3.135584469227592,3.4591074681238614
kl,paper,0.1724185177317328,0.0004189466572819,0.6255192015219673,V3 a1 b0.1 sd0.5 st0.1 w4.6e-05,4.491790914653061,0.3733568334655857,0.0214889965868217,0.1267148904104033,1.9992276477195443,,iden>numb>anim>back>pose,171.5990520188415,140.47587103662894,174.5590539043096,177.88949939170004,173.57277434746734,0.0089189650303193,0.5429147202720236,0.5766854729745782,V0.03 a10 b0.1 sd1 st0.1 w1.0e-01,0.3125408714525625,329.652353920821,0.561788798802473,0.1976858411444395,anim>iden>numb>pose,5.503435933938878,2.020246912691455,2.532986111111111,2.633394383394384,2.858013217678645,3.476593806921676
kl,r2,0.1724185177317328,0.0004189466572819,0.6255192015219673,V3 a1 b0.1 sd0.5 st0.1 w4.6e-05,4.491790914653061,0.3733568334655857,0.0214889965868217,0.1267148904104033,1.9992276477195443,,iden>numb>anim>back>pose,171.5990520188415,140.47587103662894,174.5590539043096,177.88949939170004,173.57277434746734,0.0089189650303193,0.5429147202720236,0.5766854729745782,V0.03 a10 b0.1 sd1 st0.1 w1.0e-01,0.3125408714525625,329.652353920821,0.561788798802473,0.1976858411444395,anim>iden>numb>pose,5.503435933938878,2.020246912691455,2.532986111111111,2.633394383394384,2.858013217678645,3.476593806921676
surprisal_b,paper,0.0601330983425487,0.3780963242991472,0.6069409621332191,V1 a10 b0.1 sd1 st0.2 w5.6e-02,4.110222169108809,0.719448899426346,0.0331416451185665,0.4935788164734505,1.522439886411178,,anim>iden>numb>pose>back,75.7146092099854,75.92230391658445,78.43889687478547,80.86047147718895,94.08085152842716,0.025357383281602,0.5967451957055108,0.697073238523173,V0.3 a10 b0.1 sd0.5 st0.1 w1.0e+00,0.8277920902495569,145.8399440268448,0.6695099073234151,0.1716773694609721,anim>iden>pose>numb,6.551949263172753,5.547468180785567,5.78125,5.757326007326007,6.330132176786452,7.556648451730418
surprisal_b,r2,0.0601330983425487,0.3780963242991472,0.6069409621332191,V1 a10 b0.1 sd1 st0.2 w5.6e-02,4.110222169108809,0.719448899426346,0.0331416451185665,0.4935788164734505,1.522439886411178,,anim>iden>numb>pose>back,75.7146092099854,75.92230391658445,78.43889687478547,80.86047147718895,94.08085152842716,0.0233804495559514,0.6387006311663463,0.7292818709064516,V0.1 a10 b0.1 sd1 st0.1 w1.0e+00,0.8482006789914683,142.9203482056746,0.7007883147829238,0.1633514909755471,anim>iden>pose>numb,6.786235748908901,5.555284956945365,5.8125,5.7133699633699635,6.3314745972738535,7.65719489981785
mi_concept,paper,0.0271558076873987,0.4546766235368999,0.5615106497654643,V3 a1 b0.1 sd1 st0.2 w1.0e-05,4.076386521580853,0.754902091896487,0.0358972091940305,0.5096167446938157,1.498138751194197,,anim>iden>numb>pose>back,38.70880069359373,38.92611485773025,40.65344122122854,42.413244674331615,48.612200414472056,0.0199367675735295,0.6613986777615916,0.7361006443701688,V0.3 a1 b0.1 sd0.5 st0.1 w3.2e-05,0.5792645445379248,243.5095895713305,0.7091161912627494,0.1610621906560754,anim>iden>numb>pose,25.96555143549495,18.83256356106524,20.25,20.686202686202687,21.48244527054936,23.20127504553734
mi_concept,r2,0.0271558076873987,0.4546766235368999,0.5615106497654643,V3 a1 b0.1 sd1 st0.2 w1.0e-05,4.076386521580853,0.754902091896487,0.0358972091940305,0.5096167446938157,1.498138751194197,,anim>iden>numb>pose>back,38.70880069359373,38.92611485773025,40.65344122122854,42.413244674331615,48.612200414472056,0.0198484297030348,0.6607629665763747,0.7358990534815232,V0.3 a1 b0.1 sd1 st0.1 w3.2e-05,0.6154834700607367,241.98021098351072,0.7089435551202088,0.1611099778312019,anim>iden>numb>pose,26.0198162582537,18.826655654639595,20.265625,20.691086691086692,21.4847170590665,23.19335154826958
eig_code,paper,0.2586261034336692,0.000918085997663,0.88761483657392,V3 a1 b1 sd0.5 st0.1 w1.0e-03,4.417955364857427,0.4592090277029514,0.0231024583593676,0.3734854800316645,2.139361724696501,,back>iden>numb>pose>anim,37.33312644890973,34.81289232894236,36.119852905838464,36.55893275411558,33.40699924643604,0.008331654971639,0.2298218889263442,0.2633396896906421,V0.3 a1 b1 sd1 st0.2 w1.0e-03,0.2044051397117582,378.0992563252021,0.2480564262680555,0.2589562836595435,numb>pose>iden>anim,36.152039987497,13.674489368759147,16.44994212962963,16.647741147741147,16.383415943824865,16.107650273224046
eig_code,r2,0.2586261034336692,0.000918085997663,0.88761483657392,V3 a1 b1 sd0.5 st0.1 w1.0e-03,4.417955364857427,0.4592090277029514,0.0231024583593676,0.3734854800316645,2.139361724696501,,back>iden>numb>pose>anim,37.33312644890973,34.81289232894236,36.119852905838464,36.55893275411558,33.40699924643604,0.008331654971639,0.2298218889263442,0.2633396896906421,V0.3 a1 b1 sd1 st0.2 w1.0e-03,0.2044051397117582,378.0992563252021,0.2480564262680555,0.2589562836595435,numb>pose>iden>anim,36.152039987497,13.674489368759147,16.44994212962963,16.647741147741147,16.383415943824865,16.107650273224046
