setting,metric,world_EIGs,pooled_rmse,pooled_r2,within_r2,within_rmse,within_b,pred_sd,pred_bg1,pred_bg10,pred_dev10,V_prior,alpha_prior,beta_prior,eps_fixed,sd_epsilon,infer_eps
6,eig_code,1e-07,4.809218774368218,0.06012091033705685,0.004015211374814301,11.639016632797816,1.4153757368064683,0.6170166439768757,3.0046445962024237,1.000000060752481,1.000000063752617,1.0,0.1,10.0,,0.1,True
6,eig_code,1.778279410038923e-07,4.809218768967562,0.060120915425457645,0.004015211606854551,11.639016631644589,1.4192134684591406,0.6153481637982194,2.999223823361261,1.0000000341636335,1.0000000358507355,1.0,0.1,10.0,,0.1,True
6,eig_code,3.162277660168379e-07,4.809218765922836,0.06012091829414348,0.004015211737671785,11.639016630994433,1.4232500615425292,0.6136029489985716,2.9935536865926795,1.0000000192116236,1.0000000201603514,1.0,0.1,10.0,,0.1,True
6,eig_code,5.62341325190349e-07,4.8092187642081665,0.060120919909674865,0.004015211811342919,11.639016630628294,1.4288246072655788,0.6112090263199388,2.985775867737462,1.0000000108034903,1.0000000113369991,1.0,0.1,10.0,,0.1,True
6,eig_code,1e-06,4.809218763243084,0.060120920818957244,0.0040152118528078325,11.639016630422214,1.4377644988602698,0.607408659308399,2.9734284969971436,1.000000006075249,1.0000000063752632,1.0,0.1,10.0,,0.1,True
6,eig_code,1.7782794100389227e-06,4.809218762700006,0.06012092133063444,0.004015211876141237,11.63901663030625,1.452906795934757,0.6010783319867435,2.952861289802001,1.0000000034163636,1.000000003585074,1.0,0.1,10.0,,0.1,True
6,eig_code,3.162277660168379e-06,4.8092187623943214,0.06012092161864625,0.004015211889275096,11.639016630240974,1.4787805228538546,0.5905616720728823,2.9186927327545678,1.0000000019211626,1.0000000020160353,1.0,0.1,10.0,,0.1,True
6,eig_code,5.623413251903491e-06,4.80921876222204,0.06012092178096622,0.004015211896677172,11.639016630204187,1.522342625029614,0.5736629513287897,2.8637890036168887,1.000000001080349,1.0000000011337,1.0,0.1,10.0,,0.1,True
6,eig_code,9.999999999999999e-06,4.809218762124583,0.06012092187278904,0.0040152119008644675,11.639016630183374,1.5932119859591918,0.5481456360506354,2.780883818506554,1.000000000607525,1.0000000006375263,1.0,0.1,10.0,,0.1,True
6,eig_code,1.7782794100389226e-05,4.80921876206893,0.06012092192522441,0.004015211903255612,11.639016630171493,1.7019901235658268,0.5131127970021712,2.6670634021420843,1.0000000003416363,1.0000000003585074,1.0,0.1,10.0,,0.1,True
6,eig_code,3.1622776601683795e-05,4.809218762036508,0.06012092195577103,0.004015211904648581,11.63901663016457,1.8547611197478224,0.47084957426830015,2.5297524926093873,1.0000000001921163,1.0000000002016034,1.0,0.1,10.0,,0.1,True
6,eig_code,5.623413251903491e-05,4.809218762017003,0.060120921974149547,0.004015211905486667,11.639016630160404,2.0445076263936164,0.4271510809293947,2.387779340950569,1.000000000108035,1.00000000011337,1.0,0.1,10.0,,0.1,True
6,eig_code,9.999999999999999e-05,4.809218762004855,0.060120921985594614,0.0040152119060085905,11.639016630157808,2.2472543394474616,0.38861346818947873,2.2625742429957727,1.0000000000607525,1.0000000000637528,1.0,0.1,10.0,,0.1,True
6,eig_code,0.0001778279410038923,4.80921876199716,0.06012092199284601,0.0040152119063392765,11.639016630156165,2.431897819160982,0.35910745835783625,2.166712443330765,1.0000000000341636,1.0000000000358507,1.0,0.1,10.0,,0.1,True
6,eig_code,0.00031622776601683794,4.809218761992324,0.06012092199740089,0.004015211906546976,11.639016630155135,2.577233145959769,0.3388563992157405,2.1009191974038326,1.0000000000192115,1.0000000000201603,1.0,0.1,10.0,,0.1,True
6,eig_code,0.000562341325190349,4.809218761989362,0.06012092200019154,0.004015211906674243,11.639016630154503,2.6792518717519695,0.32595344408735005,2.0589991469323756,1.0000000000108036,1.000000000011337,1.0,0.1,10.0,,0.1,True
6,eig_code,0.001,4.809218761987596,0.060120922001855676,0.004015211906750121,11.639016630154124,2.74565078108889,0.3180706699340645,2.033389047930845,1.0000000000060754,1.0000000000063751,1.0,0.1,10.0,,0.1,True
6,eig_code,0.0017782794100389228,4.809218761986566,0.06012092200282672,0.004015211906794408,11.639016630153904,2.787525447032842,0.3132924738179107,2.017865307615592,1.0000000000034164,1.0000000000035851,1.0,0.1,10.0,,0.1,True
6,eig_code,0.0031622776601683794,4.8092187619859725,0.060120922003385195,0.004015211906819882,11.639016630153778,2.8147732988199508,0.3102596630320123,2.0080120654213336,1.0000000000019211,1.000000000002016,1.0,0.1,10.0,,0.1,True
6,eig_code,0.005623413251903491,4.809218761985635,0.0601209220037034,0.004015211906834389,11.639016630153707,2.8351394003186186,0.3080309105824388,2.000771054263096,1.0000000000010802,1.0000000000011338,1.0,0.1,10.0,,0.1,True
