population,parameter,value,best,p10,median,n_cells
infants,V_prior,1.0,1.371339264141583,1.6522359042347265,1.9695356545917577,912
infants,V_prior,3.0,1.3701376392616815,1.647508555459443,1.8530176063744714,912
infants,alpha_prior,1.0,1.3701376392616815,1.5858568387107057,1.8544714304420524,912
infants,alpha_prior,10.0,1.4449497007606151,1.7205628928213381,1.9426200100801736,912
infants,beta_prior,0.1,1.3701376392616815,1.5648954633436514,1.8361899671334194,912
infants,beta_prior,1.0,1.703068200640634,1.7512567410122593,1.9980172881484701,912
infants,sd_epsilon,0.1,1.371339264141583,1.6279107682070124,1.8804787532203633,608
infants,sd_epsilon,0.5,1.39819756282568,1.6626790054486307,1.8901308586683534,608
infants,sd_epsilon,1.0,1.3701376392616815,1.6622444942592165,1.924588018327945,608
infants,sigma_true,0.1,1.391352525726955,1.5483848394120052,1.9333746813152537,456
infants,sigma_true,0.2,1.3701376392616815,1.636124673448435,1.8962174839725563,456
infants,sigma_true,0.3,1.4169887650923123,1.7014333948319558,1.8920030348410002,456
infants,sigma_true,0.5,1.6167356830293025,1.7521062823929054,1.885336824946966,456
infants,world_EIGs,1e-05,1.3701376392616815,1.5060141217207286,1.744889086786109,96
infants,world_EIGs,1.8957356524063752e-05,1.4151285039757804,1.5402843534485118,1.741317551068663,96
infants,world_EIGs,3.5938136638046256e-05,1.4581837090874266,1.5347398633436846,1.7439188391788583,96
infants,world_EIGs,6.812920690579608e-05,1.391352525726955,1.5491013562031566,1.75394868950944,96
infants,world_EIGs,0.0001291549665014884,1.4187115356766353,1.543104539755806,1.7596622402773074,96
infants,world_EIGs,0.00024484367468222265,1.4826449107552027,1.5793967789723826,1.7665757037814829,96
infants,world_EIGs,0.0004641588833612782,1.4863223193693698,1.6053736317805318,1.779537203400668,96
infants,world_EIGs,0.0008799225435691075,1.4878452282184809,1.6253903499579672,1.7948959502895925,96
infants,world_EIGs,0.0016681005372000592,1.4869740254014732,1.656789982305439,1.8151294486735656,96
infants,world_EIGs,0.0031622776601683794,1.4835475558792293,1.7029480329572124,1.8466843133692092,96
infants,world_EIGs,0.005994842503189409,1.4872442648051782,1.739868161992384,1.9275762977806288,96
infants,world_EIGs,0.011364636663857255,1.4998654857427562,1.7781649312190548,2.0040941586549863,96
infants,world_EIGs,0.021544346900318846,1.5204926872863467,1.8278948769276822,2.0968330563775996,96
infants,world_EIGs,0.04084238652674522,1.5047489553207503,1.8928211600719793,2.1429619382096936,96
infants,world_EIGs,0.07742636826811278,1.5048444941652772,1.9735377306979356,2.1420829343794914,96
infants,world_EIGs,0.14677992676220705,1.5650386965450882,2.074811194493083,2.1377217350319317,96
infants,world_EIGs,0.2782559402207126,1.8484513098307571,2.122558950614855,2.1333271399807376,96
infants,world_EIGs,0.527499706370262,2.1201579967479387,2.12577140496383,2.130448169378502,96
infants,world_EIGs,1.0,2.1216555554730014,2.124672350135027,2.1287170551635954,96
adults,V_prior,1.0,1.3930403765741346,1.4483544624188114,1.4755069377972942,176
adults,V_prior,3.0,1.3701376392616815,1.4389574210604916,1.474752696130055,176
adults,alpha_prior,1.0,1.3701376392616815,1.421690063342631,1.4710257558093236,176
adults,alpha_prior,10.0,1.4330639589357197,1.463651270472052,1.478126598943153,176
adults,beta_prior,0.1,1.3701376392616815,1.4316192014861353,1.4763027240275184,176
adults,beta_prior,1.0,1.391352525726955,1.4530004818334574,1.4738749672302198,176
adults,sd_epsilon,0.5,1.3701376392616815,1.4465066441319452,1.4753706981929309,176
adults,sd_epsilon,1.0,1.371339264141583,1.4442875940621565,1.4748761574864544,176
adults,sigma_true,0.1,1.371339264141583,1.448096779873963,1.474178410048402,176
adults,sigma_true,0.2,1.3701376392616815,1.4373885613535045,1.4760276951370765,176
adults,world_EIGs,3.1622776601683795e-05,1.3701376392616815,1.3931604669440854,1.44939165290412,32
adults,world_EIGs,0.0001,1.3811410117116036,1.4065685492579065,1.4542705411886834,32
adults,world_EIGs,0.0003162277660168,1.4187115356766353,1.4262074165553822,1.4620526514384409,32
adults,world_EIGs,0.001,1.448031624973541,1.450950786953218,1.4641828327979753,32
adults,world_EIGs,0.0031622776601683,1.4578121743885801,1.4622415349588964,1.4680988245844755,32
adults,world_EIGs,0.01,1.4640961898866447,1.4668110153050111,1.4717188141331585,32
adults,world_EIGs,0.0316227766016837,1.4711774905386839,1.473072543205353,1.474752696130055,32
adults,world_EIGs,0.0999999999999999,1.4753359308679925,1.4759073869173243,1.4777075018067323,32
adults,world_EIGs,0.3162277660168379,1.4778047119452338,1.4784978992907145,1.4792324595038742,32
adults,world_EIGs,1.0,1.478810256545613,1.4791917730041628,1.479680003535331,32
adults,world_EIGs,3.162277660168379,1.4795793627827603,1.4797179283444402,1.4798655525104412,32
