population,parameter,value,best_r2,median_r2,cells
infants,V_prior,1.0,0.63300172186924,0.2245500342234559,865
infants,V_prior,3.0,0.754902091896487,0.2216348693289203,837
infants,alpha_prior,1.0,0.754902091896487,0.24342330552136,805
infants,alpha_prior,10.0,0.4763217666906726,0.2159929568001073,897
infants,beta_prior,0.1,0.754902091896487,0.2434446167055659,909
infants,beta_prior,1.0,0.5895278844601509,0.217407574156561,793
infants,sd_epsilon,0.1,0.7494598699470258,0.2414102155262549,512
infants,sd_epsilon,0.5,0.7369335519213068,0.2216705477519736,595
infants,sd_epsilon,1.0,0.754902091896487,0.2162023823396821,595
infants,sigma_true,0.1,0.7494598699470258,0.25801106141082975,426
infants,sigma_true,0.2,0.754902091896487,0.23136646030185104,428
infants,sigma_true,0.3,0.702315667233728,0.22350528308107795,426
infants,sigma_true,0.5,0.4487820463737303,0.20999883247012424,422
adults,V_prior,1.0,0.6639132820671875,0.1507975574839143,151
adults,V_prior,3.0,0.7417872294606525,0.1480252170496193,129
adults,alpha_prior,1.0,0.7417872294606525,0.17413495517683536,144
adults,alpha_prior,10.0,0.5460161246798177,0.14060126580238716,136
adults,beta_prior,0.1,0.7417872294606525,0.18575616825745256,130
adults,beta_prior,1.0,0.3961305102693028,0.14068480274965012,150
adults,sd_epsilon,0.5,0.6942378203906184,0.1477289801706856,141
adults,sd_epsilon,1.0,0.7417872294606525,0.1515260688295888,139
adults,sigma_true,0.1,0.7417872294606525,0.1786624551599964,140
adults,sigma_true,0.2,0.6260096441485284,0.1287205179582231,140
