population,variable,cells,r2_best,r2_p90,r2_median,rmse_best,rmse_median,share_beating_constant,constant_rmse
infants,eig_code,1112,0.4592090277029514,0.20502900030339063,0.18360172070438707,4.417955364857427,4.689860968371622,0.9640287769784173,4.859611978412433
adults,eig_code,246,0.2932358269054738,0.2350019778846646,0.1928502679031801,334.8494439544853,380.5376412450387,0.02032520325203252,360.26577905524965
"adults, shortlist re-evaluated",eig_code,12,0.2263204705414658,,0.21145924523666376,373.6641353840325,377.6627462214334,,
infants,kl,1273,0.3733568334655857,0.24501461187417845,0.2056092216821747,4.491790914653061,4.664639283763995,1.0,4.859611978412433
adults,kl,281,0.3850209226871895,0.2647461808056814,0.211691789094509,294.9154079390141,378.2462693614794,0.12455516014234876,360.26577905524965
"adults, shortlist re-evaluated",kl,12,0.3011748188381377,,0.2717641709488049,338.5164091219671,355.8971297674384,,
infants,kl_concept,1772,0.760698354528484,0.42402906915421085,0.244402366255148,4.092996776951546,4.625324424140306,0.9542889390519187,4.859611978412433
adults,kl_concept,394,0.723198010890942,0.4034087114781833,0.1739338690456808,190.51205433126353,365.02942270711696,0.44416243654822335,360.26577905524965
"adults, shortlist re-evaluated",kl_concept,11,0.8177466274422918,,0.7384860054253359,150.93598434601432,181.734607991282,,
infants,mi,1688,0.2891155404085334,0.21975391507394104,0.20081711271077068,4.570761486421422,4.669943578405973,1.0,4.859611978412433
adults,mi,312,0.2851021559548617,0.2450668912555284,0.19404480182744593,346.1159617456009,380.4078541597387,0.022435897435897436,360.26577905524965
"adults, shortlist re-evaluated",mi,12,0.2431416977814168,,0.22567873957988693,372.9113345173151,375.53287301632156,,
infants,mi_concept,1702,0.754902091896487,0.3899569871172397,0.22359841665952665,4.076386521580853,4.643493191442055,0.982373678025852,4.859611978412433
adults,mi_concept,280,0.7417872294606525,0.4092185993054177,0.15012468444927807,168.87070200478482,374.9838934227309,0.28214285714285714,360.26577905524965
"adults, shortlist re-evaluated",mi_concept,10,0.898643881935434,,0.7305985090042106,110.16669447552012,199.38382343009772,,
infants,surprisal,1111,0.6182657680531678,0.3288121238041988,0.2324599292704957,4.214089456339681,4.6335120083235015,0.9081908190819082,4.859611978412433
infants,surprisal_b,1797,0.719448899426346,0.48553485900706095,0.3000206492027644,4.110222169108809,4.583381704100994,0.9660545353366722,4.859611978412433
adults,surprisal_b,268,0.5303362888613479,0.23466570460402883,0.0649560171037413,269.954549813057,370.94797662281553,0.3283582089552239,360.26577905524965
"adults, shortlist re-evaluated",surprisal_b,12,0.8908539188325217,,0.6013571528888848,128.65558370353855,246.19631724932515,,
